TAX,ADC,TS
11,12968,1716449408.4364790916
11,14572,1716449408.5224838257
11,13615,1716449408.5654222965
11,13480,1716449408.6084165573
11,10473,1716449408.6514239311
11,9445,1716449408.6944301128
3 11,9747 9584,1716449408.7374665737
3 11,9235 9455,1716449408.7804620266
3 11,8168 8605,1716449408.8234295845
3 11 19,8156  8678 10179,1716449408.8664345741
3 11 19 26,6417  8737 10084 14804,1716449408.9094879627
3 11 19 26 27,5846  8774  8575 11733 11973,1716449408.9524257183
3 10 11 19 26 27,5576 16332  8611  8303 11259 11677,1716449408.9955742359
3 10 11 19 26 27,5170 13946  8583  8052 10964 11463,1716449409.0385162830
3 10 11 19 26 27,4531 13364  6949  7789 10780  9210,1716449409.0815031528
3 10 11 18 19 26 27 28 34,4395 10720  7003 13691  7734 10807  9303 14408 12375,1716449409.1245057583
3 10 11 18 19 20 26 27 28 34,4119 10050  5890 11179  6992 15693 10543  9151 11906 12100,1716449409.1675083637
2  3 10 11 18 19 20 26 27 28 34,15494  3908  8358  5289 11039  6156 14174 10498  9247 11439 12133,1716449409.2105293274
2  3 10 11 18 19 20 21 26 27 28 34,15293  3911  8000  5110 10777  5791 13743 14520 10499  7511 11613 10667,1716449409.2535438538
2  3 10 11 18 19 20 21 26 27 28 34,15195  3715  7672  4601 10346  5464 13048 11909 10294  7498 11483  8487,1716449409.2964525223
2  3 10 11 18 19 20 21 26 27 28 34,9151  3274  6376  3378  5815  4004 12003 11324  6533  6617 11006  6622,1716449410.7585184574
2  3 10 11 18 19 20 26 27 28 34,9487  3548  6871  3888  7194  4178 12320 10019  6927 11165  8761,1716449410.8015201092
2  3 10 11 18 19 20 26 27 28 34,14755  3665  7149  4290 10360  4685 12587 10148  7232 11788 10561,1716449410.8444592953
2  3 10 11 18 19 26 27 34,15060  3758  7616  4828 10655  4939 10228  7743 12399,1716449410.8875350952
2  3 10 11 18 19 26 27,15286  4110  9182  5427 11050  5880 10516  8925,1716449410.9305095673
3 10 11 19 26 27,5129 10196  6194  6869 10655  9035,1716449410.9735071659
3 10 11 19 26 27,5399 13224  8462  7737 11404 11640,1716449411.0164818764
3 10 11 19 26 27,5406 13413  8500  7946 11817 11674,1716449411.0594608784
3 11 19 26 27,5530  8482  8089 11917 11649,1716449411.1024978161
3 11,9021 9138,1716449411.1454725266
11,9191,1716449411.1884441376
11,10937,1716449411.2314488888
11,13358,1716449411.2744703293
11,11826,1716449411.3174641132
