TAX,ADC,TS
11,15721,1716448531.2780466080
11,13441,1716448531.3211698532
11,12797,1716448531.3641533852
11,12622,1716448531.4071137905
11,10089,1716448531.4501409531
11,9628,1716448531.4931843281
3 11,9963 9784,1716448531.5361585617
3 11,6201 9389,1716448531.5791842937
3 11 19 26 27,6248  9817  8437 12044 15635,1716448531.6221513748
3 11 19 26 27,5871  9595  7407 11522 13137,1716448531.6652123928
3 11 19 26 27,5017  9499  7060 11172 12890,1716448531.7082321644
3 11 19 26 27,4368 9419 6314 9171 9608,1716448531.7512345314
3 10 11 18 19 26 27,4023 10945  7951 11326  5907  8753  9812,1716448531.7942180634
3 10 11 18 19 26 27 34 42,3692 10936  7300  9544  5432  8754  9765 12189 12468,1716448531.8371126652
3 10 11 18 19 20 26 27 28 34 42,3511  9616  6395  7898  5328 16106  7229  9958 12279 12441 10275,1716448531.8801159859
3 10 11 18 19 20 26 27 28 34 42,3135  9232  5844  6697  5049 15520  6548  9828 11882 10629  7248,1716448531.9230625629
3 10 11 18 19 20 26 27 28 34 42,2884  8333  5367  5602  4777 14334  5623  9499 11462  9439  6236,1716448531.9660146236
3 10 11 18 19 20 26 27 28 34 42,2800  7522  5103  5013  4502 14262  5263  8312 11255  9316  4999,1716448532.0090687275
3 10 11 18 19 20 26 27 28 34 42 44,2685  5497  4533  4510  4251 13648  4581  7814 10876  8941  4774 14089,1716448532.0520653725
3 10 11 18 19 20 26 27 28 34 35 42,2499  4903  3429  4063  3813 12459  3888  7503 10894  8727 15760 14373,1716448533.3421003819
3 10 11 18 19 20 26 27 28 34,2607  5842  4087  4537  3968 12266  4316  7547 11385  8639,1716448533.3850605488
3 10 11 18 19 20 26 27 34,2730  6827  4435  4929  4059 12524  5059  7609  8715,1716448533.4280698299
3 10 11 18 19 20 26 27 34,2935  6876  5198  5441  4315 13619  5679  8605  9275,1716448533.4710977077
3 10 11 18 19 26 27 34,3267 7268 5955 6368 4500 6709 8885 9800,1716448533.5140721798
3 10 11 18 19 26 27,3653 7989 6725 7591 4775 8425 9129,1716448533.5570495129
3 10 11 18 19 26 27,3868  8705  7673 11138  5166  8525  9195,1716448533.6000585556
3 10 11 18 19 26 27,4315 10057  9168 11446  5621  9209  9760,1716448533.6430740356
3 10 11 19 26 27,4869 10363  9142  6432 10153 12863,1716448533.6860492229
3 11,5407 8875,1716448533.7290449142
3 11,7516 8950,1716448533.7720053196
3 11,8831 9356,1716448533.8150353432
11,9249,1716448533.8580138683
11,12134,1716448533.9010112286
11,14015,1716448533.9440078735
11,14153,1716448533.9870154858
