TAX,ADC,TS
28,10670,1716447279.4956228733
28,10646,1716447279.5386095047
28,10771,1716447279.5816125870
28,10636,1716447279.6245450974
11 28,10244 10999,1716447279.6676020622
11 28,9737 11010,1716447279.7106368542
11 21 27 28,9951 12951 15347 11146,1716447279.7536110878
11 21 27 28,9623 11700 13547 11142,1716447279.7965722084
11 21 27 28,9516 11595 10951 11044,1716447279.8396291733
11 19 21 27 28 29,9776 11333 11881  8819 11332 12862,1716447279.8826446533
11 19 21 27 28 29 44,9524 10559 11512  7554 11223 12065 14109,1716447279.9256341457
3 11 19 21 27 28 29 44,15307  9560 10451 11515  7657 11314 11841 13520,1716447279.9686059952
3 11 19 21 27 28 29 36 44 45,13201  9637  8619 11226  7606 11277 11709 15181 13319 12932,1716447280.0116305351
3 11 19 21 27 28 29 36 44 45,8029  9587  8317 11328  7676 11321 11747 15067 12310 12723,1716447280.0547535419
3 11 19 21 27 28 29 35 36 44 45,7462  9443  7807 11275  7568 11261 11511 16336 14966 11479 10497,1716447280.0977241993
3 11 18 19 21 27 28 29 35 36 44 45,5362  9428 12306  7334 11141  7566 11289 11536 12236 14509  9355  9510,1716447280.1406645775
3 10 11 19 20 21 27 28 29 35 36 44,5755 13243  9303  6798 13842 10729  7119 10534 11344 15090 14103 13963,1716447282.1618821621
3 11 19 20 21 27 28 29 35 36,12292  9278  7745 15345 10869  7338 10606 11613 16169 15283,1716447282.2047019005
3 11 19 21 27 28 29 35,14201  9366  8342 10968  7503 10701 11735 15781,1716447282.2479326725
11 21 27 28 35,9321 11118  8335 10804 16159,1716447282.2908754349
11 21 27 28,9430 11188  8434 11025,1716447282.3338401318
11 21 28,9518 11333 10842,1716447282.3768620491
11 28,9774 10986,1716447282.4198424816
11 28,10021 11163,1716447282.4627573490
11 28,10149 11341,1716447282.5057907104
11 28,10446 12246,1716447282.5488541126
