TAX,ADC,TS
11,14907,1716452696.5181465149
11,14381,1716452696.5612292290
11,12973,1716452696.6041398048
11,11357,1716452696.6471807957
11,11107,1716452696.6901609898
11 27,11497 12774,1716452696.7331829071
11 19 27,11032 12011 12440,1716452696.7761747837
11 19 27,10905 11115 12271,1716452696.8191697598
11 19 27,10699 10773 12007,1716452696.8621814251
11 19 27,10454 10463 11723,1716452696.9051935673
3 11 19 27 34,12442 10947 10586 12044 13619,1716452696.9481933117
3 11 19 27 34,10284 10679 10549 11853 13213,1716452696.9911632538
3 11 19 27 34,6984 10115 10390 10183 13107,1716452697.0341734886
3 11 19 27 34,6673  9679 10126  9782 12795,1716452697.0772106647
3 11 19 27 34,6357  9383  9590  9589 12399,1716452697.1202056408
3 11 19 27 34,5325  9126  8047  9369 12394,1716452697.1631290913
3 11 19 27 34,5231  9064  6962  9358 12439,1716452697.2061858177
3 11 19 27 28 34,5086  9097  6555  9573 11990 12165,1716452697.2491636276
3 11 19 20 27 28 34,5005  8910  6173 15568  9411 11896 12119,1716452697.2921664715
3 11 19 20 21 27 28 34,4837  8801  5489 13476 14574  9294 11619 10524,1716452697.3351891041
3 11 19 20 21 27 28 34,4799  8744  5413 13030 12280  9394 11629 10466,1716452697.3780951500
3 11 19 20 21 27 28 34 36 42,4721  7556  5235 12870 12026  9301 11514  9808 16209 13331,1716452697.4212145805
3 11 18 19 20 21 27 28 34 36 42,4382  6851 11837  5167 11879 12031  9394 11623  9183 16001 10434,1716452697.4642093182
3 11 18 19 20 21 27 28 34 36 42,4172  6607 11436  4962 11525 11888  9452 11800  8441 15424 10217,1716452697.5072133541
3 11 18 19 20 21 27 28 34 36 42,3875  6315 11282  4744 11498 11692  9296 11700  8281 15109  9386,1716452697.5501940250
3 10 11 18 19 20 21 27 28 34 36,4072  8961  5820 10773  4339 10981 11566  8822 10872  8756 15901,1716452699.3991615772
3 10 11 18 19 20 21 27 28 34 36,4445 14067  6180 11202  4579 11650 11853  8955 11064  8863 15357,1716452699.4422063828
3 11 18 19 20 21 27 28 34,4504  6547 11389  4860 12378 11967  9190 11311 10441,1716452699.4851763248
3 11 19 20 27 28 34,4543  7019  4886 13017  9189 11309 10606,1716452699.5281205177
3 11 19 27 28 34,4735  8541  5334  9435 11750 12256,1716452699.5711264610
3 11 19 27 34,4863  8438  5486  9305 12169,1716452699.6141839027
3 11 19 27 34,5659  8469  6335  9297 12909,1716452699.6571154594
3 11 19 27,6148 8640 7477 9202,1716452699.7001278400
3 11 19 27,8764 8821 8940 9370,1716452699.7431132793
11 19 27,8828 9279 9363,1716452699.7861294746
11 19 27,9087 10281 11621,1716452699.8290331364
11 27,10022 11920,1716452699.8720541000
11,9932,1716452699.9150888920
11,9958,1716452699.9580991268
11,10610,1716452700.0010740757
11,9699,1716452700.0440363884
11,9764,1716452700.0871107578
11,10583,1716452700.1343345642
