TAX,ADC,TS
11,11801,1716449616.1997103691
11,12287,1716449616.2427124977
11,12828,1716449616.2857124805
11,11469,1716449616.3287384510
11,10668,1716449616.3717372417
2 11,15508 10183,1716449616.4147095680
2  3 11 19,15142 10703 10428 10845,1716449616.4577543736
2  3 11 19 27,14875 10451 10497  9737 12512,1716449616.5007135868
2  3 11 19 26 27,14712 10088 10491  8765 14331 12471,1716449616.5437073708
2  3 11 19 26 27,14700  9696 10022  7575 11812 10140,1716449616.5866107941
2  3 11 18 19 26 27,14692  7152 10015 13088  7076 11576  9898,1716449616.6295738220
2  3 11 18 19 26 27 34,14447  6831  9835 11980  6525 11419  9838 12953,1716449616.6724281311
2  3 11 18 19 20 26 27 28 34,14635  6537  9649 12444  6345 15141 11357  9717 12287 12793,1716449616.7156264782
2  3 10 11 18 19 20 26 27 28 34,14701  6123 14626  9664 11800  5801 14319 11089  9619 11949 12525,1716449616.7587530613
2  3 10 11 18 19 20 26 27 28 34 36,15016  5001 14251  9215 10924  5327 13272 10769  9404 11795 12273 15406,1716449616.8017904758
2  3 10 11 18 19 20 26 27 28 34 36,14625  4929 12250  9275  9465  5200 13166 10711  9420 11714  9590 15005,1716449616.8446025848
2  3 10 11 18 19 20 26 27 28 34 36,12616  4185  6711  5949  8006  3964 11132  8969  7255  9094  6413  9769,1716449618.5217537880
2  3 10 11 18 19 20 26 27 28 34 36,14716  4261  7164  6998  8793  4187 11135 10387  6959  9224  8679 13953,1716449618.5647232533
2  3 10 11 18 19 20 26 27 28 34 36,14537  4617  7814  7197  9019  4296 11213 10493  7049 11052  8910 15585,1716449618.6076664925
2  3 10 11 18 19 20 26 27 28 34,14392  4912  9662  7460 10598  4726 12471 10874  8405 11918 12407,1716449618.6506767273
2  3 10 11 18 19 26 27 34,14399  5883 13284  8075 10956  4737 10882  9356 12615,1716449618.6936516762
2  3 10 11 18 19 26 27,14502  6563 13903  8474 11778  5487 11220  9577,1716449618.7365930080
2  3 11 19 26 27,14488  9350  9509  6124 11627  9908,1716449618.7795984745
2  3 11 19 27,15082  9750  9676  8647 13263,1716449618.8226554394
11,9737,1716449618.8656044006
11,10114,1716449618.9085721970
2 11,15813 10634,1716449618.9516179562
11,12865,1716449618.9946045876
