TAX,ADC,TS
11 19,10663 14957,1716282757.8256680965
11 19,10324 14791,1716282757.8684804440
11 19,10234 14607,1716282757.9116375446
11 19,10569 10981,1716282757.9547703266
11 19 27,10417 11135 12782,1716282757.9976775646
11,10431,1716282758.0404269695
11 28,9795 11865,1716282758.0836203098
11 28,9779 11774,1716282758.1265192032
11 28,9505 11735,1716282758.1695051193
11 28,9007 11584,1716282758.2124593258
11 28,8892 11225,1716282758.2555131912
11 20 28,8884 15512 11123,1716282758.2985956669
11 20 27 28 44,8887 14355 13346 11375 13509,1716282758.3415200710
3 11 19 20 27 28 42 44,16292  8974 11077 14031 12791 11545 12873 13390,1716282758.3844871521
3 11 18 19 20 27 28 42 44,9043  9230 11362  9752 13427 12866 11695  9700 13454,1716282758.4276363850
3 11 18 19 20 27 28 29 36 42 44,9016  9242 11242  8412 13177 12839 11980 12164 16213  8254 13003,1716282758.4706029892
3 11 18 19 20 27 28 29 36 42 44,8893  9091 10781  6990 13058 12753 11683 11314 14572  7971 12836,1716282758.5137267113
3 11 18 19 20 21 26 27 28 36 44,6668  9065 10869  5623 12619 10994 11132 12419  9030 13365 13303,1716282760.4916937351
3 11 18 19 20 21 26 27 28,7717  9155 11249  6326 13000 15167 11358 12649 10890,1716282760.5346291065
11 18 19 20 26 27 28,9117 11794  7550 13346 11544 12617 11030,1716282760.5777204037
11 18 19 20 27 28,9063 11768  8796 13397 12684 11202,1716282760.6206297874
11 19 27 28,8891 14494 12506 11307,1716282760.6636567116
11 28,9244 11337,1716282760.7066910267
11,9107,1716282760.7495598793
11,9319,1716282760.7923238277
11,9575,1716282760.8354897499
11,10193,1716282760.8785336018
11,10688,1716282760.9215459824
11,12198,1716282760.9747881889
