TAX,ADC,TS
11,13852,1716279261.3327891827
11,12214,1716279261.3757774830
11,11554,1716279261.4188075066
11,11028,1716279261.4618370533
11,10741,1716279261.5047764778
11,10345,1716279261.5479652882
11,10295,1716279261.5907571316
11,10122,1716279261.6337914467
11,9498,1716279261.6767630577
11,9199,1716279261.7198016644
11,9037,1716279261.7630198002
11,9011,1716279261.8061466217
11,8878,1716279261.8493223190
11,8223,1716279261.8922412395
3 11,13951  8229,1716279261.9352779388
3 11 19,6428  8579 10529,1716279261.9780020714
3 11 19,6090 8491 9948,1716279262.0211086273
3 11 19 28,5771  8157  9909 11761,1716279262.0640656948
3 11 19 27 28,5658  7819 10098 13070 11703,1716279262.1069486141
3 11 19 27 28,5402  8003 10014  9538 11450,1716279262.1500127316
3 11 19 27 28,5295  7505  9557  9188 11341,1716279262.1930768490
3  4 11 19 27 28,5164 15034  7391  7729  9161 11414,1716279262.2360599041
3  4 11 19 21 27 28,5171 10686  7339  6995 11941  9248 11502,1716279262.2789478302
3  4 11 19 21 27 28,5135  9616  7003  6090 11581  9125 11457,1716279262.3220760822
3  4 11 19 20 21 26 27 28,4470  9402  7670  5644 16041 11398 11939  9261 11428,1716279262.3649659157
3  4 11 19 20 21 26 27 28 29,4358  9348  7435  5105 14952 11263 10749  9112 11321 11997,1716279262.4080564976
3  4 11 19 20 21 26 27 28 29,4271  9283  7140  4956 13664 11148  8895  9100 11357 11783,1716279262.4510791302
3  4 11 18 19 20 21 26 27 28 29,4224  9075  6741 11026  4697 12790 10918  8789  9022 11473 11392,1716279262.4940876961
3  4 11 19 20 21 26 27 28,3904  9009  6422  4632 12963 10521  9409  8848 10735,1716279264.2570064068
2  3  4 11 19 20 21 27 28,16382  4154  9012  6695  4785 13568 10640  8882 10741,1716279264.2999753952
3  4 11 19 20 21 27 28,4377  9256  6787  5958 15446 10893  9209 10970,1716279264.3429787159
3  4 11 19 21 27 28,5009  9255  7151  6336 10927  9353 11036,1716279264.3859314919
3  4 11 19 27 28,5034  9513  7320  8269  9488 11124,1716279264.4290027618
3 11 19 27 28,5110  7294  9802 11480 11736,1716279264.4720129967
3 11 19,5176 7242 9378,1716279264.5149054527
3 11 19,5398  7872 13832,1716279264.5579738617
3 11,5533 7842,1716279264.6009204388
3 11,8194 8738,1716279264.6439449787
3 11,14228  8638,1716279264.6869418621
11,8631,1716279264.7298176289
11,9162,1716279264.7728917599
11,9289,1716279264.8159649372
11,9535,1716279264.8588945866
11,10083,1716279264.9018552303
11,10830,1716279264.9449250698
11,10952,1716279264.9878954887
11,10983,1716279265.0308578014
