TAX,ADC,TS
42,12569,1716435214.2062773705
42,11771,1716435214.2493171692
42,11117,1716435214.2922229767
42,10775,1716435214.3350348473
42 50,11417 10238,1716435214.3780641556
42 50,11318  7268,1716435214.4210588932
35 42 44 50,16052 11135 13126  7193,1716435214.4639854431
35 42 44 50,16146 11212 12783  7104,1716435214.5073583126
35 42 44 50,15944 10751 10058  6931,1716435214.5502958298
35 42 44 50,14672 10218  9725  6794,1716435214.5932972431
35 42 44 50,13118  8876  9473  6848,1716435214.6363201141
26 28 35 42 44 50 51,12472 11880 12363  8127  9147  6991 11462,1716435214.6792929173
19 26 27 28 35 42 44 50 51,10908 12486 13578 12013  9687  7234  8450  6372 11117,1716435214.7222979069
19 26 27 28 34 35 42 44 45 50 51,10802 12602 13459 11705 11394  9558  6885  7765 11725  6125  8958,1716435214.7653567791
19 26 27 28 34 35 42 44 45 50 51 52,10807 12871 12212 11690 10486  9303  6629  7207 11724  6059  8914 16249,1716435214.8083136082
19 26 27 28 34 35 42 44 50 51,10322 11424  8981 11107  6474  8713  7535  7317  5871  8809,1716435216.7433197498
19 26 27 28 34 35 42 44 50 51,10721 11673 11782 11411  6874  9200  8125  8376  6216 11115,1716435216.7862627506
19 26 27 28 34 35 42 44 50,10882 11875 13736 11712  9062  9514  8729  9599  6670,1716435216.8292572498
19 26 27 28 34 35 42 44 50,11175 12041 13393 12010 13793 12618  9346  9477  7152,1716435216.8721745014
35 42 44 50,12431  9423  9842  7063,1716435216.9153132439
35 42 44 50,14194  9646 12359  7347,1716435216.9582233429
35 42 44 50,14809 10060 12279  7636,1716435217.0012378693
42 44 50,10051 13025 10391,1716435217.0442831516
42,11366,1716435217.0872876644
42,15737,1716435217.1302537918
