TAX,ADC,TS
42,12381,1716436257.9738001823
42,12241,1716436258.0166323185
42,12317,1716436258.0597932339
35 42 44,16138 11979 15359,1716436258.1028196812
35 42 44 50,16163 12040 10661 10850,1716436258.1457962990
42 44 50,11834 10319 10385,1716436258.1887257099
42 44 50,11856 10162 10219,1716436258.2318048477
42 44 50,11695  9938  9971,1716436258.2747614384
42 44 50,11802  9551  7764,1716436258.3178486824
35 42 44 50,15972 11629  9416  7444,1716436258.3607487679
35 42 44 45 50,16116 11780  9297 11928  7460,1716436258.4038698673
35 42 44 45 50,15833 11733  7620 11619  7467,1716436258.4468142986
28 35 42 44 45 50,12692 14310 11625  6829 11348  7238,1716436258.4898576736
28 34 35 42 44 45 50 51 53,11513 12103 14793 11394  6666 11533  6970 12563 14404,1716436258.5327777863
28 34 35 41 42 44 45 50 51 53,11378 10213 14063 12701  9847  5830 11459  6014 11046 11267,1716436258.5758011341
27 28 34 35 41 42 44 45 50 51 52 53,13828 11427 10195 12400 12510  9053  5701 11745  5767 10959 13784  9740,1716436258.6188783646
19 26 27 28 34 35 41 42 44 45 50 51,10142  9674 12993 11075  9927  8023 12485  7574  5000 10889  6036 10934,1716436260.5108234882
27 28 34 35 42 44 45 50 51,13065 11473 10143  8313  9665  5197 11237  6463 11122,1716436260.5537858009
28 34 35 42 44 45 50,11473 13449 11722 10825  6487 11516  7469,1716436260.5967581272
28 35 42 44 50,11549 12718 10955  6546  7298,1716436260.6398613453
28 35 42 44 50,11679 12335 10365  9093  7633,1716436260.6827702522
35 42 44 50,12403 10770  9401  7761,1716436260.7257592678
42 44 50,11365  9504  7975,1716436260.7687106133
42 44 50,11228 10190  8587,1716436260.8117563725
42 44 50,11755 12913 10969,1716436260.8547935486
42 44,12343 13007,1716436260.8977935314
42 44,12605 13233,1716436260.9408037663
44,12841,1716436260.9837903976
