TAX,ADC,TS
42,14701,1716432134.9611692429
42,12293,1716432135.0041832924
42,12266,1716432135.0471618176
42,11900,1716432135.0901808739
42 50,12143 10728,1716432135.1330962181
42 50,10166 10292,1716432135.1761748791
42 50,8637 10103,1716432135.2191555500
42 50,8427 7689,1716432135.2621409893
42 50,7169 7595,1716432135.3051609993
42 50,6982 7551,1716432135.3481588364
42 44 50,7030 14302  7667,1716432135.3911433220
34 42 44 45 50,12476  6469 14136 13384  7195,1716432135.4341709614
34 42 44 45 50,12831  5654 13944 12289  7159,1716432135.4771199226
34 42 44 45 50,12441  5316 13637 11680  6935,1716432135.5201563835
26 34 35 42 44 45 50 51,13219 12754 15997  5130 13445 11897  6670 12353,1716432135.5632064342
26 28 34 35 42 44 45 50 51 53,11717 13199 10711 15330  4439 10300  8836  6233 11272 15691,1716432135.6061801910
26 27 28 34 35 42 44 45 50 51 53,11528 15972 12560 10523 15609  4284 10262  8698  5739 11143 10962,1716432135.6491651535
26 27 28 34 35 42 44 45 50 51 52 53,11294 13134 12121 10571 14160  4340  8841  8872  5427 11077 15649 10239,1716432135.6921691895
26 28 36 41 42 44 45 50 51 52 53,11027 11685 14393 13055  3643  7259  9279  5144  8519  8087  9341,1716432135.7781972885
26 28 34 36 41 42 44 45 50 51 52 53,11030 11581 12255 14108 12537  3342  6404  8090  4694  8305  7768  9285,1716432135.8212130070
26 28 34 35 36 42 44 45 50,11247 11808 12386 15339 11744  3620  9735 11911  6126,1716432137.7132804394
26 34 36 42 44 50,11432 12687 11119  3406  9761  6791,1716432137.7562961578
26 36 42 44 50,11623 11394  3287  9779  7346,1716432137.7993001938
42 44 50,3333 10089  7373,1716432137.8422372341
42 44 50,3753 12305  7463,1716432137.8852400780
42 44 50,4400 13313  7684,1716432137.9281744957
42 50,6015 7766,1716432137.9712193012
42 50,7996 10212,1716432138.0141463280
42 50,11465 10377,1716432138.0571615696
42,12405,1716432138.1001901627
42,12570,1716432138.1432104111
