TAX,ADC,TS
42,9995,1716432934.2305672169
42,9999,1716432934.2735519409
42,9883,1716432934.3162081242
42,10314,1716432934.3594703674
42 44,10820 13265,1716432934.4024899006
42 44,10980 12873,1716432934.4455211163
42 44 50,11115 12836 10665,1716432934.4882724285
42 44 50,11067 12850 10428,1716432934.5317823887
42 44 50,10751 12746 10152,1716432934.5746276379
42 44 50,10949 12531 10128,1716432934.6174793243
42 44 50,10241 12309  7647,1716432934.6602582932
42 44 45 50,10052 12525 11969  7626,1716432934.7034823895
42 44 45 50,9910 12228 11581  7454,1716432934.7465186119
42 44 45 50,10027 10101 11491  7459,1716432934.7895092964
28 42 44 45 50 53,12274 10000  9214 11901  7544  9835,1716432934.8323338032
28 34 42 44 45 50 53,12090 12466  8005  7975 12206  7519  7904,1716432934.8755121231
28 34 42 44 45 50 53,12090 12267  7324  7188 12025  7092  7595,1716432934.9185471535
28 34 42 44 45 50 53,11898 11637  7005  6522 11847  6825  7131,1716432934.9615657330
28 34 42 44 45 50 53,11680  9588  5803  6025 11639  6613  6633,1716432935.0043830872
28 34 41 42 44 45 50 53,11495  9157 12899  5223  5467 11595  6405  6389,1716432935.0477120876
28 34 41 42 44 45 50 52 53,11514  7615 12683  5115  5107 11152  6240 16297  6020,1716432935.0905573368
28 34 35 41 42 44 45 50 52 53 61,11361  7126 11518 12549  4831  5085 11182  5669 10202  6334  9869,1716432935.1335473061
28 34 35 41 42 44 45 50 51 52 53 61,11211  7029 11241 12479  4303  5077 11090  5707 10053  8668  6096  7220,1716432935.1763598919
19 26 27 28 34 35 42 44 45 50 51 53,10593 12520 13296 11726  8572 10554  4410  6987  8218  7561 11975  6870,1716432937.9283061028
26 27 28 34 35 42 44 45 50 53,12348 13203 11587  8590 10478  4808 10085 11136  7629 10376,1716432937.9714629650
26 28 34 35 42 44 45 50 53,12632 11691  8791 11645  4927  9986 11111  7714 14315,1716432938.0144817829
28 34 35 42 44 45 50,11724  8705 13710  5007 10097 11173 10037,1716432938.0574707985
27 28 34 35 42 44 45 50,12236 11892 12191 15610  5220 12155 11617 10095,1716432938.1002678871
28 34 42 44 50,11822 12155  5348 12002 10102,1716432938.1434834003
28 42 44 50,11610  5412 11791 10060,1716432938.1863961220
42 44 50,6721  9707 10005,1716432938.2294800282
42 44 50,7906 11971  9223,1716432938.2722516060
42 44,9835 11927,1716432938.3154523373
42 44,9263 12049,1716432938.3584771156
42 44,9331 12623,1716432938.4014492035
42 44,9839 12942,1716432938.4442362785
42 44,9669 13556,1716432938.4874141216
42 44,10121 13113,1716432938.5307018757
