TAX,ADC,TS
50,10260,1716441475.6395571232
42 50,12939 10202,1716441475.6825735569
42 50,12348 10076,1716441475.7255361080
42 44 50,12418 13370  9917,1716441475.7684295177
42 44 45 50,12198 10737 11438  9969,1716441475.8115425110
42 44 45 50 61,9492 10705 11627  9877  7801,1716441475.8545639515
42 44 45 50 52 53 61,10875 10875 11855  9830 15937 10024  8061,1716441475.8975846767
42 44 45 50 52 53 61,8979 11020 11718  9887 12916 11683  8079,1716441475.9405863285
36 42 44 45 50 52 53 61,14864  7511  8794 11617  9769 12305  8236  7875,1716441475.9834969044
36 42 44 45 50 52 53 61,14461  6876  6733 11505  9657 11973  7900  7425,1716441476.0266659260
36 42 44 45 50 52 53 61,14223  6341  6260  8391  9579 10543  8736  7099,1716441476.0695762634
36 42 44 45 50 52 53 61,14005  6294  5927  8398  9326  9783  7396  7067,1716441476.1125814915
28 36 42 44 45 50 51 52 53 60 61,12255 12283  5729  5501  8204  9407 11503  9422  7245 11074  6970,1716441476.1556043625
28 36 42 44 45 50 51 52 53 60 61,11808 12479  5549  5333  8047  8157 11179  8375  7469 10765  6865,1716441476.1985812187
28 36 42 44 45 50 51 52 53 54 60 61,11606 12323  4973  5141  7897  7441 11046  7296  6528 12365 10122  6848,1716441476.2415423393
28 35 36 42 44 45 50 51 52 53 60 61,10978  8242 11278  3824  4689  7676  6072 10187  7071  5983 10541  6811,1716441478.3056197166
28 35 36 42 44 45 50 51 52 53 60 61,11888 14097 10853  4102  5013  8122  7059 10381  7258  6424 11647  7222,1716441478.3485715389
28 35 36 42 44 45 50 51 52 53 61,12635 14515 11212  4926  5679  8605  9446 10785  8331  7089  7644,1716441478.3916399479
36 42 44 45 50 51 52 53 61,13606  5367  6417  8981  9537 10869 10085  9004  7978,1716441478.4345998764
36 42 44 45 50 52 53 61,13904  6578 10367 11489  9661 11917 12747  7934,1716441478.4775431156
42 44 45 50 52 53,7530 10509 11224  9642 12228 15194,1716441478.5204777718
42 44 50,10507 10684  9703,1716441478.5635588169
42 44 50,12138 10758 10040,1716441478.6065630913
42 44 50,12243 14065 10397,1716441478.6495168209
42 50,12070 10250,1716441478.6925683022
42 50,13100 10481,1716441478.7355506420
42,15283,1716441478.7785344124
