TAX,ADC,TS
11,11303,1716279147.9714674950
11,11400,1716279148.0143508911
11,11301,1716279148.0573120117
11,11332,1716279148.1003038883
11,11433,1716279148.1433911324
11,11475,1716279148.1863806248
11,11445,1716279148.2294299603
11,11405,1716279148.2723269463
11,11353,1716279148.3153915405
11,11350,1716279148.3583636284
11,10482,1716279148.4013583660
11,10499,1716279148.4443404675
11,10490,1716279148.4874856472
11,10468,1716279148.5304605961
11,10458,1716279148.5733685493
11,10399,1716279148.6163289547
11,10424,1716279148.6593842506
11,10210,1716279148.7023026943
11,10053,1716279148.7454283237
11,9762,1716279148.7881534100
11,9731,1716279148.8313541412
11,9647,1716279148.8743698597
11,9647,1716279148.9172358513
11,9456,1716279148.9601008892
11,9386,1716279149.0033752918
11,9433,1716279149.0463547707
11,9380,1716279149.0892779827
3 11,13917  9631,1716279149.1321370602
3 11,13933  9673,1716279149.1753971577
3 11,13767  9606,1716279149.2183625698
3 11,13619  9567,1716279149.2613675594
3 11,13462  9519,1716279149.3041346073
3 11,13873  9567,1716279149.3473875523
3 11,8687 9819,1716279149.3904879093
3 11,8458 9649,1716279149.4333856106
3 11,8325 9597,1716279149.4763438702
3 11,8191 9580,1716279149.5194141865
3 11,7987 9527,1716279149.5623514652
3 11,7025 9445,1716279149.6053612232
3 11,6244 9430,1716279149.6484138966
3 11,6155 9352,1716279149.6914372444
3 11,5970 9310,1716279149.7344276905
3 11,5745 9260,1716279149.7774169445
3 11,5688 9109,1716279149.8203759193
3 11,5530 9180,1716279149.8633916378
3 11,5467 9125,1716279149.9064059258
3 11,5402 9009,1716279149.9494102001
3 11 19,5493  9179 10300,1716279149.9924089909
3 11 19,5512 9156 9913,1716279150.0354287624
3 11 19,5448 9092 9833,1716279150.0784621239
3 11 19,5448 9054 9777,1716279150.1214232445
3 11 19 28,5399  9137 10169 12395,1716279150.1643846035
3 11 19 28,5407  9119 10058 12194,1716279150.2074110508
3 11 19 28,5396  9128 10048 12221,1716279150.2504551411
3 10 11 19 20 28,5390 15695  9133 10086 16229 11827,1716279150.2934956551
3 10 11 19 20 21 28,5339 13675  9136 10223 16034 12709 11885,1716279150.3363993168
3 10 11 19 20 21 28,4963 13160  8450  9983 15919 12376 11738,1716279150.3795096874
3 10 11 19 20 21 28,4950 12051  8217  9903 16032 11986 11604,1716279150.4224796295
3  4 10 11 19 20 21 28,4543 12661 10878  8234  8284 15497 11844 11618,1716279150.4654636383
3  4 10 11 19 20 21 28,4410 11605 10232  7835  8107 15206 11670 11707,1716279150.5083565712
3  4 10 11 19 20 21 28,4070 11256  9700  7795  8084 15116 11483 11734,1716279150.5514471531
3  4 10 11 19 20 21 28,3611 10367  9634  5925  8056 14203 11594 11565,1716279150.5944328308
3  4 10 11 19 20 21 27 28,3460 10673  9492  5111  7521 13915 11342 14645 11587,1716279150.6374413967
3  4 10 11 19 20 21 27 28,3314 10687  9462  4955  7256 13778 11279 14365 11542,1716279150.6803529263
3  4 10 11 19 20 21 27 28 29,3150 10282  9297  4587  6961 13969 11146 14276 11273 13571,1716279150.7234621048
3  4 10 11 18 19 20 21 27 28 29,2989 10148  9264  4553 11448  6820 14133 11090 14786 11309 12900,1716279150.7664310932
3  4 10 11 18 19 20 21 27 28 29,2895  9820  8941  4351 11417  6070 13991 10911 12927 11345 12651,1716279150.8094396591
3  4 10 11 18 19 20 21 27 28 29,2831  9750  8872  4261 11315  5647 13960 10901 12947 11538 12385,1716279150.8524284363
2  3  4 10 11 18 19 20 21 27 28 29,10950  2814  9632  8619  4058 11178  5315 13594 10890 13612 11583 12088,1716279150.8955175877
2  3  4 10 11 18 19 20 21 27 28 29,10815  2734  9523  7536  3834 11044  5160 13392 11047 13156 11576 11852,1716279150.9383232594
2  3  4 10 11 18 19 20 21 27 28 29,10413  2676  9495  7078  3707 10900  4904 13071 10928 13197 10882 11760,1716279150.9814603329
2  3  4 10 11 18 19 20 21 27 28 29,10754  2476  9138  6791  3554 10608  4370 11710 10070  9695 10723 11332,1716279152.3144423962
1  3  4 10 11 18 19 20 21 27 28 29,15939  2510  9273  8032  3819 10872  4490 11974 10053 10361 10808 11375,1716279152.3574354649
1  3  4 10 11 18 19 20 21 27 28 29,16120  2709  9215  8679  3990 11137  4683 12267 10179 12135 11070 12076,1716279152.4005067348
3  4 10 11 18 19 20 21 27 28,2954  9286  9138  4456 11381  5098 12639 10428 13246 11243,1716279152.4434065819
3  4 10 11 19 20 21 27 28,3153  9279  9075  4917  5266 12820 10382 13185 11119,1716279152.4864258766
3  4 10 11 19 20 21 28,3546  9356  9268  5274  5988 12955 10498 11149,1716279152.5294659138
3  4 10 11 19 20 21 28,3892  9430  9828  5526  6771 13960 10829 11123,1716279152.5724401474
3  4 10 11 19 20 21 28,4058  9688 12211  6365  9789 14737 10947 11545,1716279152.6154296398
3  4 10 11 19 20 21 28,4173 10027 15608  6424  9907 15710 11117 11781,1716279152.6583914757
3  4 11 19 21 28,4137 15757  6411  9986 11595 12229,1716279152.7014138699
3 11 19,4972 8312 9747,1716279152.7443730831
3 11 19,5053  8313 10239,1716279152.7873792648
3 11,5056 8837,1716279152.8303613663
3 11,5198 8846,1716279152.8733718395
3 11,5324 8834,1716279152.9163284302
3 11,5507 8936,1716279152.9593980312
3 11,5964 9151,1716279153.0023880005
3 11,7781 9269,1716279153.0452811718
3 11,13380  9063,1716279153.0882828236
3 11,10838  9292,1716279153.1314084530
3 11,9723 9397,1716279153.1743564606
11,9426,1716279153.2173440456
11,10144,1716279153.2604014874
11,11724,1716279153.3033599854
