TAX,ADC,TS
11,11263,1716193719.8420655727
11 42,11067 14752,1716193719.8849272728
11 42,10575 11709,1716193719.9278666973
11 42 44,10594 11378 13617,1716193719.9709708691
11 42 44,10059 10994 13208,1716193720.0139291286
11 42 44,10004 10867 13073,1716193720.0568234921
11 42 44,9849 10467 12618,1716193720.1000978947
11 42 44,9569  9996 12727,1716193720.1429693699
11 28 42 44,9484 13837  9685 12705,1716193720.1859323978
11 28 42 44,9514 12803  8582 12645,1716193720.2289557457
11 28 42 44,9311 11587  7047 12505,1716193720.2719364166
3 11 28 29 42 44,13295  9422 11527 13057  6909 12824,1716193720.3149638176
3 11 26 28 29 34 42 44,8045  9673 13762 11595 12370 14665  6487 12765,1716193720.3579757214
3 11 26 28 29 34 42 44,7823  9586 11592 11548 12236 13197  6138 12596,1716193720.4009802341
3 11 26 28 29 34 42 44,7767  9461 11278 11348 11478  9931  6101 12526,1716193720.4440689087
3 11 26 28 29 34 42 44 45,6804  9449 11145 11225 11162  9510  5981 12652 12321,1716193720.4870100021
3 11 26 28 29 34 42 44 45,6042  9412 11047 11284 11177  9503  6046 11053 12025,1716193720.5299761295
3 11 26 28 29 34 35 42 44 45 53,5493  8622 10934 11093 10899  9302 16277  6444 10389 12186 13427,1716193720.5728278160
3 11 26 28 29 34 35 36 42 44 45 53,5225  8529 10659 10914 10884  9261 16195 15138  6434 10023 12135 13355,1716193720.6161129475
3 11 26 28 29 34 35 36 42 44,5091  7917 10552 10654 10589  9214 15747 13573  5796 11837,1716193723.0239236355
3 11 26 28 29 34 35 36 42 44,5507  8297 10718 10881 10689  9424 15780 13823  6709 12187,1716193723.0670022964
3 11 26 28 29 34 35 36 42 44,7488  8731 11056 11078 11083  9823 15670 14113  7735 12580,1716193723.1099956036
11 26 28 29 34 42 44,9087 12409 11244 11399 12683  7550 12258,1716193723.1530275345
11 28 42 44,8874 11001  8730 12256,1716193723.1959042549
11 28 42 44,8992 11134  8080 12731,1716193723.2388932705
11 28 42 44,9063 11204  8834 13254,1716193723.2819902897
11 28 42 44,9583 11248  9185 13118,1716193723.3249344826
11 28 42 44,13606 11404 10395 13103,1716193723.3679685593
42,11211,1716193723.4109475613
42,12969,1716193723.4539606571
11,9951,1716193723.5399703979
11,9511,1716193723.5829195976
11,9579,1716193723.6260330677
