TAX,ADC,TS
28,12664,1716191473.9286174774
28,16019,1716191473.9718887806
28,11323,1716191474.0147125721
11 28,10683 11823,1716191474.0578558445
11 28,10074 11215,1716191474.1007323265
11 28 44,9598 11004 13539,1716191474.1437473297
11 19 28 44,10595 11430 11740 13244,1716191474.1867299080
11 19 28 44,10059 10910 11446 12997,1716191474.2297112942
11 19 28 44,9666 10449 11296 12815,1716191474.2726490498
11 19 28 44,9568 10237 11197 12492,1716191474.3157463074
11 19 28 44,9166  9922 10943 12484,1716191474.3587701321
11 19 28 44,9020  9789 10968 12337,1716191474.4017763138
11 19 20 28 44,8875  9677 16104 10829 12301,1716191474.4447002411
11 19 20 28 44,8768  9486 14646 10973 12375,1716191474.4877276421
3 11 19 20 28 44,8122  8801  9526 14001 10831 12121,1716191474.5307278633
3 11 19 20 28 42 44,7662  8782  8866 13091 10755 12069 12293,1716191474.5737526417
3 11 19 20 28 42 44,7539  8756  8009 12689 10532 11812 12383,1716191474.6166808605
3 11 19 20 28 29 42 44 45,5642  8821  6904 12414 10799 12091 11832 12529 11005,1716191474.6597838402
3 11 19 20 27 28 29 42 44 45,5504  8844  6403 12169 15496 10781 11572 11977 12542  8596,1716191474.7027733326
3 11 19 20 26 27 28 29 42 44 45,5477  8906  6035 12060 11360 13142 10737 11356 11808 12483  8270,1716191474.7458035946
3 11 19 20 21 26 27 28 29 42 44 45,5316  8892  5633 11936 14069 11057 12508 10658 11178 11559 12369  7911,1716191474.7887940407
3 11 19 20 21 26 27 28 29 42 44 45,5131  8849  5458 11522 13136 10805 12336 10546 10875 10451 12473  7735,1716191474.8317720890
3 11 19 20 21 26 27 28 29 42 44 45,5001  8789  4830 11036 11157  8909 12308 10455 10634  9882 11030  7684,1716191474.8748805523
3 11 19 20 21 26 27 28 29 42 44 45,4978  8507  4399 10246 10675 10845 12523 10343 11029 11427 12206 10454,1716191477.1107373238
3 11 19 20 21 27 28 29 42 44,5027  8448  4703 10430 10925 12304 10331 11264 11901 12178,1716191477.1537227631
3 11 19 20 21 27 28 29 42 44,5139  8598  5122 10770 11228 12250 10293 11151 12362 12067,1716191477.1965765953
3 11 19 20 27 28 29 44,5223  8570  5318 11023 12177 10291 11484 11897,1716191477.2397451401
3 11 19 20 27 28 44,7097  8621  6279 11419 12390 10125 12323,1716191477.2826807499
3 11 19 20 27 28 44,7612  8651  8737 12084 12407 10264 12553,1716191477.3257718086
3 11 19 20 27 28 44,14518  8725  9010 12959 12741 10447 12741,1716191477.3686668873
11 19 20 28 44,8620  9173 13831 10450 12517,1716191477.4117121696
11 19 28 44,8812  9273 10661 12716,1716191477.4547097683
11 19 28 44,9162  9763 10739 12736,1716191477.4977796078
11 19 28 44,9228  9806 10980 13021,1716191477.5408227444
11 19 28,9795 10282 11740,1716191477.5837843418
11 19 28,9920 10608 11677,1716191477.6266939640
28,11165,1716191477.6697170734
