TAX,ADC,TS
19,10569,1716193793.5328552723
19,10143,1716193793.5758576393
19,9611,1716193793.6188447475
19,8969,1716193793.6618444920
19,7155,1716193793.7048945427
19,6237,1716193793.7478342056
19,5531,1716193793.7908332348
19,5336,1716193793.8338332176
19 28,5522 11933,1716193793.8768484592
19 28,5011 11615,1716193793.9198968410
10 19 28,13756  4922 11213,1716193793.9629449844
10 11 19 28,13469 13330  5083 11241,1716193794.0059511662
10 11 19 28,13340 10801  4828 11063,1716193794.0489048958
10 11 19 28,13133 10129  4506 11132,1716193794.0918762684
10 11 19 28,13019  9575  4303 10828,1716193794.1348891258
10 11 19 20 28,12972  9381  4367 14395 10930,1716193794.1778993607
10 11 19 20 28,12909  9249  4277 12914 10689,1716193794.2208619118
10 11 19 20 28 42,11106  9020  4184 12573 10540 12013,1716193794.2639005184
10 11 19 20 28 42,9636  8947  4154 12172 10554 11938,1716193794.3068928719
10 11 19 20 28 42 45 53,9499  8926  4058 11480 10450 11791 12342 14238,1716193794.3498973846
10 11 18 19 20 28 42 45 53,8969  8929 12946  4093 11218 10449 11719  8251 11119,1716193794.3928871155
10 11 18 19 20 27 28 42 45 53,8560  8887 11051  3935 10609 15347 10402 11545  7157 10992,1716193794.4359149933
2 10 11 18 19 20 27 28 42 45 53,14912  8238  8926 10740  3831 10489 15303  9521 11610  8426 10974,1716193794.4791820049
10 11 18 19 20 27 28 37 42 45 51 53,6828  8596  8407  3463  9318 12496  8315  9747 11511  8069 11913 11067,1716193796.5431528091
10 11 18 19 20 27 28 37 42 45 53,7070  8615 10187  3633  9686 12410  8892 13375 11830  8485 11394,1716193796.5861756802
10 11 18 19 20 28 42 45,7078  8609 10276  3540  9809  9044 12326 11046,1716193796.6291835308
10 11 18 19 20 28,7550  8760 10517  3691 10285 10005,1716193796.6721949577
10 11 19 20 28,7990  8722  3668 10543  9946,1716193796.7151226997
10 11 19 20 27 28,9054  8908  3991 11094 15133 10163,1716193796.7581393719
10 11 19 20 28,9782  8860  4063 11823 10160,1716193796.8011944294
10 11 19 28,11118  8915  3994 10263,1716193796.8441672325
10 11 19 28,12980  9079  4064 10437,1716193796.8870995045
10 11 19 28,12959  9238  4284 10686,1716193796.9301314354
10 11 19 28,13186  9824  4723 11529,1716193796.9731924534
10 11 19 28,13304 10592  5193 12122,1716193797.0161674023
10 19,13275  4718,1716193797.0591793060
19,5027,1716193797.1020965576
19,5868,1716193797.1451859474
19,8737,1716193797.1881709099
19,9176,1716193797.2310121059
19,9454,1716193797.2741680145
