TAX,ADC,TS
11,15084,1716183385.3551485538
11,10934,1716183385.3981883526
11 28,10508 15110,1716183385.4410696030
11 28,9647 11403,1716183385.4842352867
11 28,9551 11177,1716183385.5271537304
11 20 28,9555 13792 11145,1716183385.5702071190
3 11 20 28,9989  9559 13021 10994,1716183385.6131598949
3 11 20 28,9651  9436 12574 10933,1716183385.6561644077
3 11 20 27 28,7119  9654 12233 12856 11245,1716183385.6991510391
3 11 20 27 28 29,6578  9523 11941 12718 11490 12344,1716183385.7422373295
3 11 19 20 27 28 29,6458  9594 10983 11814 12668 11530 12292,1716183385.7851967812
3 11 19 20 27 28 29,6101  9435 10363 11060 12065 11552 11587,1716183385.8282372952
3 11 19 20 27 28 29,5843  9171 10164 10825 11505 11278 11299,1716183385.8710727692
3 11 19 20 21 26 27 28 29 36 44,5161  9199  9372 10646 11943 11807 11783 11307 11307 15727 14135,1716183385.9142007828
3 11 18 19 20 21 26 27 28 29 36 44,4806  9246 13849  8663 10340 11787 11060 12011 11270 11152 13309 13153,1716183385.9572260380
3 11 18 19 20 21 26 27 28 29 36 44,4661  9108 11210  8393  9419 11430 10641 11783 11305 10909 12688 12707,1716183386.0001959801
3 11 18 19 20 21 26 27 28 29 36 44,4496  9030 10760  8224  8869 10850  8946 11547 11157 10908 12223 12278,1716183386.0431814194
3 11 18 19 20 21 26 27 28 29 36 44,4142  8703 10182  4929  7377 10590  8513  8008  7219 10449 10745 12875,1716183388.0211675167
3 11 18 19 20 21 26 27 28 29 36,4282  8740 10459  5310  7566 10748  8896  8267  8217 10527 11108,1716183388.0641238689
3 11 18 19 20 21 27 28 29 36,4382  8716 10660  6225  9374 10887  8363 10719 10613 11892,1716183388.1071212292
3 11 19 20 21 27 28 29 36,4455  8702  7411  9568 11043  8283 10713 10941 14290,1716183388.1501233578
3 11 19 20 21 27 28 29 36,4746  8812  8661 10413 11136  8667 10810 11127 16135,1716183388.1931891441
3 11 19 20 21 27 28 29 36,5763  9013  9937 10890 11358 11172 10911 11641 16371,1716183388.2362008095
3 11 19 20 21 27 28 29,6035  9153 10235 11226 11456 11510 10993 12008,1716183388.2791244984
3 11 19 20 21 27 28,6873  9345 12537 11506 11695 12191 11272,1716183388.3221206665
3 11 20 28,9124  9113 11505 10978,1716183388.3651595116
11 20 28,9159 13063 11198,1716183388.4081788063
11 28,9367 11615,1716183388.4511539936
11,9179,1716183388.4941136837
11,11876,1716183388.5371272564
