TAX,ADC,TS
42,11893,1716194216.7610845566
42,11607,1716194216.8042106628
11 42,10908 11835,1716194216.8471319675
11 28 42,10425 11769 11886,1716194216.8903310299
11 28 42,10296 11644 11646,1716194216.9332013130
11 28 42,9896 11388 11409,1716194216.9761011600
11 28 42,9498 11144 11391,1716194217.0192625523
11 28 42 45,9441 11022 11225 12707,1716194217.0621304512
11 28 42 45,9548 11129 10993 11967,1716194217.1052050591
11 19 28 42 45,9531 13116 11082 10691 11762,1716194217.1482403278
11 19 28 42 45,9489 10759 11001 10528 11618,1716194217.1913146973
11 19 28 42 45,9446 10175 10840 10494 11359,1716194217.2342905998
11 19 28 42 45,9282 10075 10677 10459 11253,1716194217.2773158550
11 19 28 42 45,9148  9841 10619 10313 11142,1716194217.3202574253
11 19 28 42 44 45,9112  9783 10539 10431 13513 10542,1716194217.3633053303
11 19 28 42 44 45,8957  9613 10581 10302 13124 11138,1716194217.4062733650
11 19 28 42 44 45,8784  9521 10499 10448 12914 11084,1716194217.4493079185
11 19 27 28 42 44 45 53,8816  9615 13451 10593 10648 12903 11277 12871,1716194217.4922952652
11 19 26 27 28 42 44 45 53,9015  9634 13304 13020 10581 10459 12799 11224 12459,1716194217.5352969170
3 11 19 26 27 28 42 44 45 53,11108  9033  9646 13270 12817 10483 10452 12541 11157 12345,1716194217.5782668591
3 11 19 26 27 28 42 44 45 53,8192  8984  9574 13316 12669 10415 10495 12577 11342  9897,1716194217.6213107109
3 11 19 26 27 28 29 42 44 45 53,7860  9014  9625 12811 12644 10553 12018 10526 12659 10015  9523,1716194217.6642971039
3 11 19 26 27 28 29 42 44 45 53,7703  8986  9652 12484 12597 10572 11725 10598 12645  8260  9410,1716194217.7073113918
3 11 19 20 26 27 28 29 42 44 45 53,7643  8893  9666 15914 12091 12464 10527 11612 10422 12381  7961  9226,1716194217.7502593994
3 11 19 20 26 27 28 29 42 44 45 53,6066  8917  9665 13911 11951 12441 10559 11330 10310 12404  7044  9208,1716194217.7932415009
3 11 19 20 21 26 27 28 42 44 45 53,7220  9119 10383 15716 11066 10868 12900 10667 10967 10331  7814 10347,1716194221.0182883739
3 11 19 20 21 26 27 28 42 44 45 53,7299  9078 10185 15513 11049 10965 12936 10611 10220 10449  8233 11626,1716194221.0612835884
3 11 19 20 26 28 42 44 45 53,7351  9067  9805 15468 11970 10548 10800 10653 10909 11432,1716194221.1042268276
3 11 19 20 26 28 42 44 45,12095  9123  9829 15795 12157 10663 10943 13592 10469,1716194221.1472086906
3 11 19 20 26 28 42 44 45,12461  9178  9927 16075 12515 10643 11067 13850 10622,1716194221.1902415752
3 11 19 26 28 42 45,12804  9205 10083 13028 10631 10429 10443,1716194221.2332360744
3 11 28 42 45,13541  8711 10356 10164 10666,1716194221.2762360573
11 28 42 45,8654 10390 11076 10764,1716194221.3191974163
11 28 42 45,8844 10676 11477  8049,1716194221.3623025417
11 28 42 45,9336 10915 11684 11191,1716194221.4052543640
11 28 42 45,9695 11173 11963 11711,1716194221.4483141899
11 28 42 45,9850 11425 12183 11840,1716194221.4912652969
11 28 42 45,9970 11780 12381 12075,1716194221.5342910290
11 28 42,10332 12055 12222,1716194221.5772061348
11 28 42,10047 11943 12097,1716194221.6203074455
11 42,11425 12552,1716194221.6631555557
