TAX,ADC,TS
11,9330,1716179881.0660142899
11,9268,1716179881.1089198589
11,9333,1716179881.1520073414
11,9119,1716179881.1949987411
11,8865,1716179881.2378926277
11,8875,1716179881.2809503078
11 28,8951 12181,1716179881.3239748478
11 28,8671 11576,1716179881.3669734001
11 19 28,8817 10904 11576,1716179881.4100084305
11 19 28,8812 10666 11370,1716179881.4529709816
3 11 19 28,8636  9068  9882 11199,1716179881.4961445332
3 11 19 28,8339  9023  9663 10949,1716179881.5390248299
3 11 19 28,7958  9047  9543 10827,1716179881.5819978714
3 11 19 28,6097  8985  9489 10848,1716179881.6248500347
3 11 19 20 21 28,5951  9065  9429 15683 13181 10834,1716179881.6680607796
3 11 19 20 21 28 29,5995  8996  9542 14712 12424 10919 12132,1716179881.7110314369
3 11 19 20 21 28 29,5793  8966  7895 14465 11572 10882 11834,1716179881.7539839745
3 11 19 20 21 26 27 28 29 44,5753  9036  7858 13404 11283 15114 13540 11004 11768 14023,1716179881.7970459461
3 11 19 20 21 26 27 28 29 44,5647  9104  7907 12368 11016 13583 13168 11313 11652 13471,1716179881.8400466442
3 11 19 20 21 26 27 28 29 44,5491  8999  7647 12333 10866 12334 12846 11111 11388 13227,1716179881.8830568790
3 11 19 20 21 26 27 28 29 44,5324  8817  6872 11689 10698 11567 12653 11317 11029 12710,1716179881.9259998798
3 11 19 20 21 26 27 28 29 42 44,5288  8712  6116 11573 10483 11232 12602 11081 10801 13057 12701,1716179881.9690539837
3 11 19 20 21 26 27 28 29 42 44,4403  8687  5877 11387 10458 11166 12533 11140 10816 12665 12499,1716179882.0120463371
3 11 19 20 21 26 27 28 29 42 44,4303  8650  5633 11047 10313  9167 12356 11021 10620 12115 12363,1716179882.0551123619
3 11 18 19 20 21 26 27 28 29 42 44,4219  8656 11622  5088 10511 10050  8846 12466 10738 10373 11195 12480,1716179882.0981693268
3  4 11 18 19 20 21 26 27 28 29 44,4215  9678  7485 10510  4267  9891  9851  8659  9842 10198 10126 12569,1716179883.9040830135
3 11 18 19 20 21 26 27 28 29 44,4083  7586 15236  4508 10155  9997  8895  9836 10488 10329 12573,1716179883.9470736980
3 11 19 20 21 26 27 28 29 44,4197  8506  4808 10450  9960 10477 12065 10418 10373 12855,1716179883.9900698662
3 11 19 20 21 26 27 28 29,4935  8511  5325 10646 10047 10667 12193 10644 10531,1716179884.0330543518
3 11 19 20 21 26 27 28 29,5051  8617  5814 11110 10187 10854 12716 10655 10839,1716179884.0761022568
3 11 19 20 21 26 27 28 29,5311  8678  6443 11701 10489 11427 12666 10685 11230,1716179884.1191303730
3 11 19 20 21 27 28 29,5317  8725  7345 11854 10401 12542 10641 11442,1716179884.1621086597
3 11 19 20 21 27 28 29,5558  8691  7496 13389 10555 12739 10613 11540,1716179884.2050471306
3 11 19 21 27 28,5797  8772  9439 10709 15966 10983,1716179884.2480268478
3 11 19 21 28,7770  8810  9318 10869 11027,1716179884.2910315990
3 11 19 28,8133  8701  9230 10765,1716179884.3339881897
11 19 28,8680  9333 10531,1716179884.3770105839
11 19 28,8676  9587 10787,1716179884.4200506210
11 19 28,8799 13843 11138,1716179884.4630107880
11,8483,1716179884.5060486794
11,8664,1716179884.5490345955
11,8958,1716179884.5922474861
11,9300,1716179884.6348650455
11,9425,1716179884.6780242920
11,9630,1716179884.7397179604
