nodes,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
1716186584.2352328,0,0,0,0,0,0,0,0,0,0,9731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1716186584.2782016,0,0,0,0,0,0,0,0,0,0,9718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1716186584.321305,0,0,0,0,0,0,0,0,0,0,9814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1716186584.364231,0,0,0,0,0,0,0,0,0,0,9374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1716186584.407229,0,0,0,0,0,0,0,0,0,0,9296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1716186584.4501867,0,0,0,0,0,0,0,0,0,0,8997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1716186584.4932752,0,0,0,0,0,0,0,0,0,0,8894,0,0,0,0,0,0,0,10260,0,0,0,0,0,0,0,0,10986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1716186584.5361657,0,0,0,0,0,0,0,0,0,0,8792,0,0,0,0,0,0,0,9668,0,0,0,0,0,0,0,0,10882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1716186584.5790033,0,0,6334,0,0,0,0,0,0,0,9095,0,0,0,0,0,0,0,9747,0,0,0,0,0,0,0,0,10976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1716186584.6219244,0,0,6206,0,0,0,0,0,0,0,9109,0,0,0,0,0,0,0,9560,0,0,0,0,0,0,0,0,11048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1716186584.6649616,0,0,6081,0,0,0,0,0,0,0,9097,0,0,0,0,0,0,0,6956,13996,11918,0,0,0,0,0,0,11288,11829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1716186584.708022,0,0,5809,0,0,0,0,0,0,0,8998,0,0,0,0,0,0,0,5845,13665,11290,0,0,0,0,0,0,11355,11421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1716186584.75094,0,0,5075,0,0,0,0,0,0,0,9025,0,0,0,0,0,0,0,5776,13380,11006,0,0,0,0,0,12912,11383,11117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1716186584.7940142,0,0,4735,0,0,0,0,0,0,0,8896,0,0,0,0,0,0,0,5374,12576,10840,0,0,0,0,0,12620,11322,10831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1716186584.8370564,0,0,4588,0,0,0,0,0,0,0,8814,0,0,0,0,0,0,0,5166,11926,10754,0,0,0,0,0,12613,11372,10675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1716186584.879968,0,0,4582,0,0,0,0,0,0,0,8877,0,0,0,0,0,0,11299,5038,11547,10790,0,0,0,0,0,12482,11363,10588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1716186584.922965,0,0,4458,0,0,0,0,0,0,0,8815,0,0,0,0,0,0,10859,4780,11243,10644,0,0,0,0,0,12285,11055,10597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1716186584.9659672,0,0,4337,0,0,0,0,0,0,0,8824,0,0,0,0,0,0,9233,4440,10903,10450,0,0,0,0,14011,11681,10801,10519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1716186585.009041,0,0,3983,0,0,0,0,0,0,0,8782,0,0,0,0,0,0,9138,4387,10790,10463,0,0,0,0,11095,11765,10712,10487,0,0,0,0,11721,0,0,0,0,0,0,0,0,0,12415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1716186585.0520704,0,0,3846,0,0,0,0,0,0,0,7940,0,0,0,0,0,0,8913,4272,10691,10460,0,0,0,0,11006,11866,9828,9026,0,0,0,0,11740,0,0,0,0,0,0,0,0,0,10330,11999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1716186585.0952349,0,0,3691,0,0,0,0,0,0,0,7710,0,0,0,0,0,0,7109,4025,10303,10373,0,0,0,0,8921,11717,7763,8097,0,0,0,0,11321,0,0,0,0,0,0,0,0,0,6939,12165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1716186585.1382554,0,0,3579,0,0,0,0,0,0,0,7577,0,0,0,0,0,0,6873,3850,9929,10109,0,15519,0,0,8774,11478,5981,6069,0,0,0,0,8957,0,13727,0,0,0,0,0,0,0,6044,8349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1716186585.181212,0,0,3395,0,0,0,0,0,0,0,7510,0,0,0,0,0,0,5782,3770,9858,10042,0,14493,0,0,8674,11707,5433,5871,0,0,0,0,8662,0,12781,0,0,0,0,0,10670,0,5085,6667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1716186585.2242873,0,0,3186,0,0,0,0,0,0,14300,7529,0,0,0,0,0,0,5005,3677,9654,9992,0,13162,0,0,8499,12062,4874,5505,0,0,0,0,8638,0,12187,16353,0,0,0,0,9711,0,4991,6026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1716186585.2672782,0,0,3119,0,0,0,0,0,0,13750,7508,0,0,0,0,0,0,4677,3586,9303,9997,0,12974,0,0,8427,11935,4672,5535,0,0,0,0,8668,0,11965,13408,0,0,0,0,6975,0,4597,5496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1716186585.3102262,0,0,2934,0,0,0,0,0,0,12576,7454,0,0,0,0,0,0,4343,3506,8098,9955,0,12746,0,0,8202,9271,4308,5411,0,0,0,0,8043,0,11674,12736,0,0,0,0,6007,0,4245,5134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1716186585.3532434,0,0,2835,0,0,0,0,0,0,9635,7451,0,0,0,0,0,0,4117,3429,8289,9821,0,12709,0,0,7865,8944,4062,5172,0,0,0,0,7511,0,11446,12608,0,0,0,0,4880,0,4034,4778,0,0,0,0,0,0,0,14572,0,0,0,0,0,0,0,0,0,0,0
1716186585.3962142,0,0,2735,0,0,0,0,0,0,10026,7452,0,0,0,0,0,0,4018,3437,8003,9801,0,12703,0,0,7713,8944,3887,5105,0,0,0,0,7422,15296,11071,12754,0,0,0,0,4193,0,3926,4519,0,0,0,0,0,0,0,14510,0,0,0,0,0,0,0,0,0,0,0
1716186585.4393687,0,0,2647,0,0,0,0,0,0,9614,7461,0,0,0,0,0,0,3837,3339,6650,9765,0,12745,0,0,7591,8734,3690,5038,0,0,0,0,7194,13947,10833,12172,0,0,0,0,3706,0,3936,4376,0,0,0,0,0,0,14481,7082,0,0,0,0,0,0,0,0,0,0,0
1716186585.4823053,16040,0,2530,0,0,0,0,0,0,9406,6351,0,0,0,0,0,0,3570,3258,6304,9977,0,13061,0,0,7634,8524,3331,4943,0,0,0,0,7009,14093,8569,12154,0,0,0,0,3537,0,3826,4159,0,0,0,0,0,0,12924,6394,0,0,0,0,0,0,0,0,0,0,0
1716186585.5252872,15734,0,2487,0,0,0,0,0,0,8772,6328,15289,0,0,0,0,0,3482,3193,6134,9796,0,13035,0,0,7437,8110,3290,4867,0,0,0,0,6212,13479,8531,12469,0,0,0,0,3460,0,3753,3918,0,0,0,0,0,0,12361,5552,0,0,0,0,0,0,0,0,0,0,0
1716186585.5683477,15584,0,2483,13004,0,0,0,0,0,8920,5610,14933,0,0,0,0,0,3327,3108,5521,9972,0,13004,0,0,7468,8011,3164,4806,0,0,0,0,6195,12410,7739,12646,0,0,0,0,3418,0,3582,3758,0,0,0,0,0,0,12623,5020,0,0,0,0,0,0,0,0,0,0,0
1716186585.6112978,14824,0,2419,12975,0,0,0,0,0,7856,4836,13866,0,0,0,0,0,3221,3045,5363,9924,0,12981,0,0,7439,7945,3038,4697,0,0,0,0,6097,12457,6967,12362,0,0,0,0,3450,0,3511,3879,10915,0,0,0,0,11188,11998,5376,0,0,0,0,0,0,0,7134,0,0,0
1716186585.6543643,0,0,2303,13817,0,0,0,0,0,7445,4446,13778,0,0,0,0,0,3131,3003,5271,9888,0,12962,0,0,7437,7883,2975,4714,0,0,0,0,6031,10162,6696,12679,14371,0,0,0,3276,0,3333,3823,8774,0,0,0,0,10941,11611,5180,12254,0,0,0,0,0,0,7040,0,0,0
1716186585.6972518,0,0,2266,11716,0,0,0,0,0,6906,3687,10896,0,0,0,0,0,2981,2907,4911,9933,0,12928,0,0,7480,7046,2838,4735,0,0,0,0,5802,8539,5426,12856,13909,0,0,0,3092,0,3218,3540,8105,0,0,0,0,10768,11285,5139,11994,0,0,0,0,0,0,6870,0,0,0
