nodes,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
1716184185.686424,0,0,0,0,0,0,0,0,0,0,10815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1716184185.729359,0,0,0,0,0,0,0,0,0,0,9870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1716184185.7723641,0,0,0,0,0,0,0,0,0,0,10047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1716184185.8153822,0,0,0,0,0,0,0,0,0,0,9671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1716184185.8583636,0,0,0,0,0,0,0,0,0,0,9323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1716184185.90142,0,0,0,0,0,0,0,0,0,0,9226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1716184185.9444077,0,0,0,0,0,0,0,0,0,0,9398,0,0,0,0,0,0,0,13128,0,0,0,0,0,0,0,0,11460,12184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1716184185.9874432,0,0,10045,0,0,0,0,0,0,0,9624,0,0,0,0,0,0,0,11595,0,0,0,0,0,0,0,0,11261,11847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1716184186.0304253,0,0,9613,0,0,0,0,0,0,0,9477,0,0,0,0,0,0,0,10629,0,0,0,0,0,0,0,0,11134,11450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1716184186.0735598,0,0,7789,0,0,0,0,0,0,0,9478,0,0,0,0,0,0,0,10343,16319,0,0,0,0,0,0,0,11071,11294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1716184186.116462,0,0,6618,0,0,0,0,0,0,0,9446,0,0,0,0,0,0,0,10109,15398,0,0,0,0,0,0,0,11209,11202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1716184186.159482,0,0,6257,0,0,0,0,0,0,0,9334,0,0,0,0,0,0,0,10082,14703,0,0,0,0,0,0,13673,11214,10800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1716184186.2024055,0,0,6001,0,0,0,0,0,0,0,9360,0,0,0,0,0,0,0,9980,13553,0,0,0,0,0,11255,12987,11346,10859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1716184186.2454145,0,0,5865,0,0,0,0,0,0,0,9300,0,0,0,0,0,0,0,9798,13361,12867,0,0,0,0,10833,12780,11437,10839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1716184186.2884605,0,0,5600,0,0,0,0,0,0,0,9186,0,0,0,0,0,0,0,9555,12792,11665,0,0,0,0,10597,11595,11312,10832,0,0,0,0,0,0,0,0,0,0,0,0,12732,0,12863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1716184186.331439,0,0,5516,0,0,0,0,0,0,0,9182,0,0,0,0,0,0,0,9143,12516,11268,0,0,0,0,10587,11539,11272,10669,0,0,0,0,0,0,0,0,0,0,0,0,12479,0,12831,12455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1716184186.3744814,0,0,5453,0,0,0,0,0,0,0,9095,0,0,0,0,0,0,0,8447,12419,11160,0,0,0,0,10552,11285,11183,10704,0,0,0,0,0,0,0,0,0,0,0,0,11011,0,12789,9127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1716184186.417566,0,0,5343,0,0,0,0,0,0,0,8997,0,0,0,0,0,0,0,7258,11924,10779,0,0,0,0,10523,11179,11020,10570,0,0,0,0,13931,0,0,0,0,0,0,0,10662,0,11487,8558,0,0,0,0,0,0,0,15332,0,0,0,0,0,0,0,0,0,0,0
1716184186.4606056,0,0,5337,0,0,0,0,0,0,0,8899,0,0,0,0,0,0,0,6843,11515,10748,0,0,0,0,10517,11155,10927,10497,0,0,0,0,12404,0,0,0,0,0,0,0,8924,0,10121,8441,0,0,0,0,0,0,0,14993,0,0,0,0,0,0,0,0,0,0,0
1716184186.5034606,0,0,5338,0,0,0,0,0,0,0,8933,0,0,0,0,0,0,13012,6131,11340,10713,0,0,0,0,10529,11224,10920,10442,0,0,0,0,12222,0,0,0,0,0,0,0,8435,0,8004,8491,0,0,0,0,0,0,0,11031,0,0,0,0,0,0,0,0,0,0,0
1716184186.5464401,0,0,4441,0,0,0,0,0,0,0,8893,0,0,0,0,0,0,10920,5748,11086,10499,0,0,0,0,8642,11365,10933,10390,0,0,0,0,10059,0,13187,0,0,0,0,0,8063,0,7091,8577,0,0,0,0,0,0,0,10797,0,0,0,0,0,0,0,0,0,0,0
