TAX,ADC,TS
42 52,13149 10144,1716441327.1084208488
42 52,14843  8427,1716441327.1515676975
42 52,12745  7892,1716441327.1945586205
42 52,12439  6258,1716441327.2375769615
42 52,11907  5666,1716441327.2804687023
42 44 50 52 53,12145 14243 10118  5670 15275,1716441327.3235757351
42 44 45 50 51 52 53 61,12179 15549 13049 10159 13563  6226 10911  8135,1716441327.3665833473
42 44 45 50 51 52 53 61,11899 14368 12138 10099 11512  6035  9463  8033,1716441327.4095389843
42 44 45 50 51 52 53 61,11846 13429 10391  9999 11293  5767  9347  7894,1716441327.4524831772
42 44 45 50 51 52 53 61,11708 13488  9305  9924 10866  5508  7879  7772,1716441327.4955635071
28 42 44 45 50 51 52 53 61,11940  9127 12944  8894  9900 10679  5314  7534  7445,1716441327.5387358665
28 42 44 45 50 51 52 53 61,11353  8472 12739  8503  9713 10615  5224  7505  7221,1716441327.5817558765
28 42 44 45 50 51 52 53 61,11281  8043  8757  8178  9609 10319  5020  7118  6835,1716441327.6246562004
28 42 44 45 50 51 52 53 61,11215  8968  8680  8099  9555 10282  4744  6976  6628,1716441327.6676862240
28 36 42 44 45 50 51 52 53 61,11109 11245  8695  8583  8064  9470 10133  4627  6898  6546,1716441327.7106754780
28 36 42 44 45 50 51 52 53 54 61,11153 11063  7884  8650  8235  9513  9994  4593  6705 12408  6619,1716441327.7536518574
28 35 36 42 44 45 50 51 52 53 61,10861 10251  7827  5016  7106  7659  9623  7551  3965  6406  6406,1716441329.8177628517
28 35 36 42 44 45 50 51 52 53 61,10744 12576 11211  5656  7527  7891  9828  7806  4182  6842  6621,1716441329.8606855869
28 35 36 42 44 45 50 51 52 53 61,10916 15658 11433  6853  8776  8143  9947  7966  4533  7184  7177,1716441329.9038350582
28 42 44 45 50 51 52 53 61,11070  7225 12303  8761 10075 10045  4847  7240  7609,1716441329.9467082024
28 42 44 45 50 51 52 53 61,11951  8525 12731 11861 10300 10106  5088  9463  7739,1716441329.9897425175
42 44 45 50 51 52 53 61,8825 13389  9838 10311 10384  5592  9652  8219,1716441330.0324013233
42 52,11484  5303,1716441330.0756609440
42 52,11711  5673,1716441330.1186730862
42 52,12146  8504,1716441330.1616446972
42,12872,1716441330.2046940327
42,12732,1716441330.2477402687
42,13517,1716441330.2906632423
42 51,14091 14523,1716441330.3947014809
