TAX,ADC,TS
42,11281,1716436437.7241716385
42 50,11596 11452,1716436437.7671351433
42,11435,1716436437.8101887703
42,10833,1716436437.8530762196
42,11017,1716436437.8961677551
42 50,11328 10840,1716436437.9391241074
42 44 50,9093 14767 10993,1716436437.9821307659
42 44 50,9269 13760 10578,1716436438.0251755714
42 44 50,9271 13211 10453,1716436438.0681252480
28 42 44 50,11924  8872 13291 10359,1716436438.1111736298
28 42 44 50,11414  8806 13035 10125,1716436438.1542067528
28 42 44 50,11420  8407 12675  9979,1716436438.1971726418
28 42 44 50,11256  8181 12588  9739,1716436438.2401723862
28 42 44 50,10901  8067 12634  9743,1716436438.2831618786
28 36 42 44 50,11019 14991  7464 12477  9588,1716436438.3262052536
28 36 42 44 50,11113 14579  6919 12387  9338,1716436438.3691971302
20 28 36 42 44 45 50,15664 11278 14975  5815  8601 11629  7531,1716436438.4121916294
20 27 28 36 41 42 44 45 50 53,14276 11537 11166 14941 12427  5689  7073 11784  8265 11977,1716436438.4552118778
20 26 27 28 34 36 41 42 44 45 50 53,14358 11578  9655 11284 10639 14986 12133  4748  7011 11321  5799  9365,1716436438.4982507229
19 26 27 28 34 35 36 41 42 44 50,14705 11252 10236 11406 10581 15208 14533 12547  6792  8765  9309,1716436440.4760808945
26 27 28 34 35 36 42 44 50,11856 12124 11297 13797 15872 15392  7104 10001  9347,1716436440.5191667080
27 28 34 36 42 50,14313 11159 13849 15728  8766  9405,1716436440.5621986389
42 50,8760 9667,1716436440.6051886082
42 50,8969 9908,1716436440.6481814384
42 50,9154 10195,1716436440.6912107468
42 50,9468 10634,1716436440.7341148853
42,8958,1716436440.7771756649
42,9212,1716436440.8200187683
42,8351,1716436440.8632116318
42 44,8902 13305,1716436440.9061858654
42 44,9635 12985,1716436440.9492254257
