TAX,ADC,TS
42 50,13048 10417,1716441489.3203008175
42 50,12311  9845,1716441489.3634560108
42 44 50,12273 16019  9466,1716441489.4064238071
42 44 45 50 52,11149 14051 12824  8169 10251,1716441489.4494538307
42 44 45 50 52,11843 13431 12015  7565  9975,1716441489.4923679829
42 44 45 50 52,11446 10987 11661  7385  9650,1716441489.5354754925
42 44 45 50 52 53 61,9925 11010 12200  6824 10001 11429  8226,1716441489.5784471035
42 44 45 50 52 53 61,9821  9139 11995  6180  9797 10532  7935,1716441489.6214730740
42 44 45 50 52 53 61,9653  7353 11935  5326  9723 10046  7656,1716441489.6644146442
41 42 44 45 50 51 52 53 61,13679  9541  6319 11680  5119 11822  8783  8766  7431,1716441489.7074894905
28 34 41 42 44 45 50 51 52 53 61,15371 11534 12707  8252  5958  8974  5141 11387  8356  7873  7349,1716441489.7504198551
28 34 41 42 44 45 50 51 52 53 60 61,12525  9795 12425  6739  5199  8411  4801 11057  8013  7346 11561  6952,1716441489.7936949730
28 34 41 42 44 45 50 51 52 53 60 61,11933  9609 12443  6222  5146  8089  4592 11007  7567  6899 11507  6753,1716441489.8364899158
28 34 36 42 44 45 50 51 52 53 61,12924  8148 12685  5175  5778  8279  4431 11075  7067  6371  7350,1716441491.9013721943
34 36 42 44 45 50 51 52 53 61,11377 13235  6011  6845  9074  5035 11644  9085  7692  8040,1716441491.9443597794
42 44 45 50 52 53,6319  8822 11306  5827  9767  9106,1716441491.9872920513
42 44 45 50 52,8214 10767 11828  6593 10185,1716441492.0302419662
42 44 50,9375 12593  7069,1716441492.0732994080
42 44 50,9829 13382  9233,1716441492.1162261963
42 44 50,8055 13402 10033,1716441492.1593382359
42 50,12713 10351,1716441492.2022809982
50,10517,1716441492.2452836037
