TAX,ADC,TS
42,12621,1716432120.8121581078
42 44,11358 13617,1716432120.8552901745
42 44,11074 13465,1716432120.8982636929
42 44,10761 13353,1716432120.9413201809
42 44,10563 13107,1716432120.9841866493
42 44 50,10811 12999 10103,1716432121.0274112225
42 44 50,10697 12705 10056,1716432121.0703923702
42 44 50,10775 10222  9949,1716432121.1134235859
34 42 44 50,12363 10974 10130  9929,1716432121.1562669277
28 34 42 44 50,14059 12285 10879  9981  9870,1716432121.1993889809
28 34 42 44 50,12459 12095 10641  9745  9803,1716432121.2424438000
28 34 42 44 45 50,11706 11874 10564  9928 12337  9704,1716432121.2854132652
28 34 42 44 45 50,11568 12035 10628  9811 11871  8069,1716432121.3281974792
26 28 34 42 44 45 50,13141 11601 12190 10523  9653 11549  7460,1716432121.3714833260
26 28 34 42 44 45 50 53,13238 11634  9355  9775  7532 11790  5763  8177,1716432121.4144501686
26 27 28 34 42 44 45 50 53,12565 14679 11317  8431  9197  7235 11677  5179  6844,1716432121.4574155807
19 26 27 28 34 42 44 45 50 51 53,10332 11590 13523 11433  8285  8712  7235 11571  5137 11411  6469,1716432121.5001795292
19 26 27 28 34 35 36 42 44 45 50,10494 11578  9791 11177  8168 12160 15929  9146  6506 11533  5161,1716432123.3064553738
26 27 28 34 35 36 42 44 45 50,11706 10013 11381  8330 14605 16155  8742  7079 11660  5733,1716432123.3493611813
26 28 34 42 44 50,13451 11379  8245  9331  8119  7309,1716432123.3922786713
26 28 34 42 44 50,13430 11711  8626  9982  8239  7557,1716432123.4354429245
28 34 42 44 50,12058 12219 10172  9065  9634,1716432123.4783816338
34 42 44 50,12057 10667  9141  9951,1716432123.5213482380
42 44,10649  9397,1716432123.5642137527
42 44,10433  9848,1716432123.6073663235
42 44,10203 12991,1716432123.6503791809
