TAX,ADC,TS
42,9915,1716432773.4171414375
42,9837,1716432773.4600837231
42 50,9980 10237,1716432773.5031874180
42 44 50,10148 15132 10103,1716432773.5461521149
42 44 50,10347 13937  9957,1716432773.5890989304
42 44 50,10361 13479  9848,1716432773.6321768761
42 44 50 51,9923 13316  9946 11880,1716432773.6751513481
42 44 50 51,10324 13074  9839 11599,1716432773.7181620598
42 44 50 51,10370 12949  9826  9747,1716432773.7611510754
42 44 50 51,9999 10805  9927  8887,1716432773.8040695190
28 42 44 50 51,12338 10220 10541  9846  8743,1716432773.8471429348
28 34 42 44 50 51,12058 12349 10435 10177  9811  8640,1716432773.8901467323
28 34 35 42 44 50 51,11839 12245 13752 10495  9009  9863  8489,1716432773.9331657887
28 34 35 42 44 45 50 51,11689 10462 12068 10388  8254 12426  9890  8579,1716432773.9761700630
28 34 35 42 44 45 50 51,11692  8411 11602 10302  6258 12211  9808  8393,1716432774.0191185474
27 28 34 35 42 44 45 50 51,13350 11700  7518 11504  9754  5617 11614  9798  8270,1716432774.0622057915
27 28 34 35 36 42 44 45 50 51 53,13095 11814  6750 10340 15943  8420  5226 11844  9875  8238  8025,1716432774.1050579548
27 28 34 35 36 42 44 45 50 51 53,13028 11879  6615  9890  9208  8107  4843 11661  9780  8149  6310,1716432774.1481842995
26 27 28 34 35 36 42 44 45 50 51 53,14734 12951 11958  6274  9818  8649  7055  4634  9645  7539  8032  5815,1716432774.1911525726
26 27 28 34 35 36 42 44 45 50 51 53,13482 13104 11996  5968  9615  8324  6253  4008  9624  7412  8013  5569,1716432774.2341673374
26 27 28 34 35 36 42 44 50 51 52,15403 13467 11624  7715 10198 14045  8827  6501  9947  8620  9870,1716432776.1260662079
28 34 35 36 42 44 50 51,11556  9044 11392 14775  9793  7248  9963  8659,1716432776.1691751480
28 34 35 42 44 50 51,12502 12463 12911  9923 10090 10067  8839,1716432776.2121298313
28 34 42 44 50 51,12325 12637  9987 12172 10064  8959,1716432776.2551426888
42 44 50 51,10115 12564 10189 11861,1716432776.2981135845
42 44 50 51,10231 12784 10357 12979,1716432776.3410079479
42 50,10157 10495,1716432776.3840959072
42 50,10524 10827,1716432776.4270827770
42,10518,1716432776.4700706005
42,10616,1716432776.5131032467
42,13767,1716432776.5561189651
