TAX,ADC,TS
19,11437,1716266874.1833589077
19,11119,1716266874.2263042927
19,12369,1716266874.2692744732
19,11738,1716266874.3122255802
19,10559,1716266874.3553073406
19,10030,1716266874.3982863426
11 19,11138 10593,1716266874.4412941933
11 19 28,10107 10257 11761,1716266874.4842453003
11 19 28,9662  9333 11406,1716266874.5273456573
11 19 28,9169  8629 10990,1716266874.5702683926
11 19 28,9061  5695 10914,1716266874.6132655144
11 19 28 29,9207  5441 11199 11990,1716266874.6562452316
10 11 18 19 28 29,12156  9205 14553  5552 11278 11801,1716266874.6993482113
10 11 18 19 20 26 27 28 29 44,11964  9336 15432  5490 16062 12129 12983 11429 11787 13991,1716266874.7424139977
10 11 19 20 26 27 28 29 44,10579  9191  4993 14524 11592 12768 11108 11546 13443,1716266874.7852933407
10 11 19 20 26 27 28 29 44,10257  9170  4700 14329 11446 12531 11130 11453 13103,1716266874.8282577991
10 11 18 19 20 26 27 28 29 44,10181  8978 10519  4372 13774 10685 12376 11091 11181 12675,1716266874.8713629246
10 11 18 19 20 26 27 28 29 34 44,9878  8195  9003  4279 13124  9096 12292 10963 10918 14341 12693,1716266874.9142973423
10 11 18 19 20 26 27 28 29 34 44,10152  8933  7729  4277 12958  8997 12251 10782 10884 11755 12545,1716266874.9573628902
10 11 18 19 20 26 27 28 29 34 44,9466  7039  7519  4121 12779  8877 12270 10669 10770  9179 12526,1716266875.0002727509
10 11 18 19 20 26 27 28 29 34 35 44,9243  6254  6186  4004 11871  8667 12214 10694 10460  8788 14691 12351,1716266875.0433552265
10 11 18 19 20 26 27 28 29 34 35 44,8985  5344  5261  3950 11410  8552 12257 10475 10490  8753 12809 12401,1716266875.0863585472
10 11 18 19 20 26 27 28 29 34 35 44,8793  8733  6406  4105 12024  8674 12055 10540 10459 12679 15371 12907,1716266877.6662631035
10 11 18 19 20 26 27 28 29 35,9501  7825  8880  4362 12588  8917 12243 10678 10479 15190,1716266877.7092404366
10 11 18 19 20 26 27 28 29,11120  8191  9668  5825 12853 11103  9085 11612 10593,1716266877.7523005009
10 11 18 19 20 27 28 29,13184  9240 11271  6015 13496  9306 11690 11030,1716266877.7953147888
11 19 20 27 28,8431  7016 13511  9511 11563,1716266877.8383278847
11 19 20 27 28,9215 10239 16080 12718 11273,1716266877.8813869953
11 19 28,9596 13423 11972,1716266877.9241609573
11 19 28,9354 10180 11813,1716266877.9672946930
11 19 28,9663 10666 12273,1716266878.0103049278
19 28,10815 12221,1716266878.0532960892
28,12473,1716266878.1823759079
