TAX,ADC,TS
19,9772,1716270834.6691296101
19 28,10053 12571,1716270834.7121934891
19 28,9849 11767,1716270834.7551138401
19 27 28 44,9879 13694 11777 14948,1716270834.7981326580
19 27 28 42 44,9839 12990 11661 14387 13959,1716270834.8411650658
19 27 28 42 44,9612 12711 11528 12117 13243,1716270834.8840887547
19 27 28 42 44,9573 12552 11464 10039 13203,1716270834.9271743298
19 27 28 42 44,9154 12427 11321  9307 12909,1716270834.9701883793
19 20 27 28 34 42 44,7421 14997 12445 11323 13047  8097 12982,1716270835.0131096840
19 20 21 27 28 34 42 44,6118 15044 12548 12486 11374 11621  6691 12925,1716270835.0562002659
19 20 21 26 27 28 34 42 44,5435 14541 11266 13182 12524 11263 11087  6079 12779,1716270835.0990822315
11 19 20 21 26 27 28 34 42 44,9865  5296 14100 11239 12844 12596 11307 11181  5381 10255,1716270835.1420068741
11 19 20 21 26 27 28 34 42 44,9323  5039 13861 11019  9658 12632 11033 10629  5079 10091,1716270835.1851255894
11 19 20 21 26 27 28 34 42 44 45,9125  4838 13307 10707  9453 12620 10966  9129  4895 10251  9447,1716270835.2281448841
11 19 20 21 26 27 28 34 42 44 45,9139  4746 12910 10620  8414 12680 10985  8721  4088  9847  8238,1716270835.2711410522
11 19 20 21 26 27 28 34 42 44 45,8905  4286 12815 10462  7667  9146 10870  7502  3845  9620  7714,1716270835.3140952587
11 18 19 20 21 26 27 28 34 42 44 45,8849 10983  4155 12584 10334  6593  8897 10882  7226  3682  9466  7519,1716270835.3571345806
11 18 19 20 21 26 27 28 34 42 44 45,8649 10776  4011 12352 10217  5923  8840 10642  6987  3447  9253  7405,1716270835.4001326561
11 18 19 20 21 26 27 28 34 35 42 44,8544  8417  3619 11206 10047  4565 10646 10334  6092 13593  3461  8767,1716270837.7220141888
11 18 19 20 21 26 27 28 34 35 42 44,8547  8794  3765 11881 10071  4812 10673 10385  7425 14480  3781  8917,1716270837.7651627064
11 18 19 20 21 26 27 28 34 42 44,8589 10322  3901 11627 10066  5242  9232 10255  7924  4068  9130,1716270837.8081688881
11 18 19 20 21 26 27 28 34 42 44,8774 10566  4067 12194 10170  5921 12048 10449  8186  5157  9762,1716270837.8511142731
11 18 19 20 21 26 27 28 34 42 44,9196 11510  4490 13511 10734  8126 12229 10663  9134  6620 10257,1716270837.8941471577
11 19 20 21 26 27 28 34 42 44,9827  4834 14598 11199 12904 12329 11037 11377  8336 12580,1716270837.9371464252
19 20 26 27 28 34 42 44,4894 14830 12939 12116 11117 12520 11161 12811,1716270837.9801807404
19 27 28 44,5428 12028 10918 13336,1716270838.0230247974
19 27 28,9212 12432 11025,1716270838.0661156178
19 27 28 42 44,9315 12659 10959 14271 16043,1716270838.1091198921
19 28 44,9412 11075 14463,1716270838.1521530151
19 28,9402 11078,1716270838.1950733662
19 27 28,9975 15711 11763,1716270838.2380225658
19,9462,1716270838.2810328007
19,9748,1716270838.3240170479
28,11020,1716270838.3670268059
28,10810,1716270838.4193098545
