TAX,ADC,TS
28,11162,1716265789.9931101799
28,11268,1716265790.0360612869
11 28,9655 11549,1716265790.1221139431
11 28,9479 11106,1716265790.1651113033
11 19 28,9827 10484 11539,1716265790.2081456184
11 19 28,9615 10140 11394,1716265790.2511050701
11 19 28,9365  9778 11111,1716265790.2940764427
11 19 28 44,9204  9767 11068 13565,1716265790.3370914459
11 19 20 28 44,9441  9983 14571 11321 13423,1716265790.3801562786
11 19 20 27 28 44,9148  8300 13695 12798 11390 13157,1716265790.4230487347
11 19 20 27 28 44,8985  8117 13551 12728 11263 12863,1716265790.4661188126
11 19 20 21 27 28 44,8827  7239 13209 11800 12604 11299 12853,1716265790.5090804100
11 19 20 21 26 27 28 44,8931  6845 12795 11349 11766 12575 11322 12853,1716265790.5520493984
11 19 20 21 26 27 28 29 44,8907  6737 12597 11304 11407 12493 11301 12242 12580,1716265790.5950934887
11 19 20 21 26 27 28 29 44,8760  5845 12075 10909 10809 12344 11068 11685 12514,1716265790.6380763054
11 19 20 21 26 27 28 29 44 45,8689  5686 11945 10730 10684 12267 10978 11332 12635 12470,1716265790.6810617447
11 19 20 21 26 27 28 29 44 45,8663  5556 11832 10780 10642 12292 10958 11335 12779 12124,1716265790.7240724564
3 11 19 20 21 26 27 28 29 44 45,12456  8772  5062 11631 10567 10508 12310 10994 11104 12731  8205,1716265790.7670707703
10 11 18 19 20 21 26 27 28 29 44,8074  8448 12708  4008  9845  9798  8327 12000 10100 10334 12459,1716265793.2179939747
10 11 18 19 20 21 26 27 28 29 44,8446  8495 13656  4222  9972  9959  8506 12128 10226 10494 12967,1716265793.2609622478
10 11 18 19 20 21 26 27 28 29 44,9455  8593 13812  4679 10337 10287 11151 12155 10415 10781 13003,1716265793.3039457798
10 11 19 20 21 27 28 29 44,13192  8443  5135 10589 10568 12033 10699 10951 12999,1716265793.3469154835
11 19 20 21 27 28 29 44,8518  5677 11194 10801 12380 10952 12071 13175,1716265793.3899092674
11 19 20 21 27 28,8633  6447 11391 10733 12442 10950,1716265793.4329040051
11 19 20 21 27 28,8729  7586 11532 10863 12511 10673,1716265793.4758977890
11 19 20 27 28,8923  9962 12278 12514 11166,1716265793.5189070702
11 19 20 28,8946  9918 13110 11010,1716265793.5618703365
11 19 20 28,9077  9996 14275 11236,1716265793.6048438549
11 19 28,9246  9843 11355,1716265793.6478638649
11 19 28,9551 10047 11805,1716265793.6908986568
11 28,9390 16187,1716265793.7338800430
11,9701,1716265793.7768633366
11,9713,1716265793.8198421001
