TAX,ADC,TS
11,10945,1716261497.6075019836
11,10527,1716261497.6507394314
11,10172,1716261497.6934676170
11,9891,1716261497.7363421917
11,9832,1716261497.7794020176
11,9033,1716261497.8224849701
11 28,9238 12859,1716261497.8654658794
11 19 28 44,9453 10519 12602 14311,1716261497.9084906578
11 19 28 44,9222 10075 12148 13605,1716261497.9515292645
11 19 28 44,9000  9803 11611 13311,1716261497.9945032597
11 19 27 28 44,7418  9810 14111 11466 13247,1716261498.0375032425
11 19 20 26 27 28 29 44,6661  9894 16056 13534 12803 11524 12321 13209,1716261498.0804753304
11 19 20 21 26 27 28 29 44,6359  9853 15456 11812 13400 12651 11711 11988 13037,1716261498.1235816479
11 19 20 21 26 27 28 29 44,6048  9681 15258 11532 13372 12589 11689 11739 12870,1716261498.1665689945
11 19 20 21 26 27 28 29 44,4521  7690 14379 10885 12522 12432 11402 11145 12583,1716261498.2095606327
11 19 20 21 26 27 28 29 44,4114  6912 14437 10722 10043 12354 11306 10938 12833,1716261498.2525165081
11 19 20 21 26 27 28 29 44,3823  6577 14079 10687  7957 12829 11263 10698 12479,1716261498.2955880165
10 11 19 20 21 26 27 28 29 44,14682  3759  5702 13294 10515  6351 12681 10943 10662 12363,1716261498.3385624886
10 11 19 20 21 26 27 28 29 44,13146  3551  5361 13058 10491  5859 12860 10674 10388 12087,1716261498.3815832138
10 11 19 20 21 26 27 28 29 44,11222  3390  5101 12687 10482  5487 11882 10458  6979 12088,1716261498.4245164394
10 11 19 20 21 26 27 28 29 36 44,10035  3225  4784 12545 10409  5075 11178 10592  6745 13909  9785,1716261498.4676158428
10 11 19 20 21 26 27 28 29 34 36 44,8207  3132  4355 12280 10250  5093 11053 10510  6579 13269 13689  7920,1716261498.5106086731
10 11 19 20 21 26 27 28 29 36 44,7635  3018  3773 11297  9701  4690 10367 10207  5823 12810 11997,1716261500.6608254910
10 11 19 20 21 26 27 28 29 44,8976  3189  3886 11691  9746  5265 10425 10090  9509 11997,1716261500.7038345337
10 11 19 20 21 26 27 28 29 44,9372  3437  4119 12153  9855  5543 10463 10095  9767 12627,1716261500.7468714714
10 11 19 20 21 26 27 28 29 44,10409  3674  4691 13203  9891  6914 10647 10236  9801 12820,1716261500.7897109985
10 11 19 20 21 26 27 28 29 44,12834  4159  5256 13109 10247 10843 11861 10502 10527 12903,1716261500.8328096867
10 11 19 20 21 26 27 28 29 44,14064  4913  6076 13487 10596 12282 12109 10903 10806 13194,1716261500.8759498596
11 19 20 21 26 27 28 29 44,6431  9154 14094 10881 12978 12572 11034 11195 13151,1716261500.9188451767
11 19 20 21 27 28 29,7135  9631 15251 11065 12451 11135 11600,1716261500.9619109631
11 19 20 21 27 28,8667  9750 15268 11148 12369 11528,1716261501.0048928261
11 19 28,8605  9349 11475,1716261501.0478725433
11 19 28,8764  9517 11647,1716261501.0908968449
11,8578,1716261501.1339302063
11,9032,1716261501.1768596172
11,9347,1716261501.2198858261
11,10449,1716261501.2629337311
