TAX,ADC,TS
11,12464,1716449394.4585456848
11,12468,1716449394.5015766621
11,12433,1716449394.5443279743
11,12300,1716449394.5875751972
11,12130,1716449394.6304042339
11,9992,1716449394.6736316681
11,9609,1716449394.7162845135
11,9232,1716449394.7596437931
11,9220,1716449394.8025450706
3 11,13724  9197,1716449394.8456213474
3 11,13598  9087,1716449394.8884770870
3 11,13054  8988,1716449394.9316051006
3 11,13124  8809,1716449394.9746158123
3 11 26,13525  7441 13675,1716449395.0176341534
3 11 26,8881  7060 11426,1716449395.0604548454
3 11 20 26,5977  6500 15924 11400,1716449395.1036903858
3 11 19 20 26 27,5787  5950 11621 13922 11371 13029,1716449395.1466639042
3 11 19 20 26 27,5670  5884  9411 13238 11301 12749,1716449395.1896238327
3 11 19 20 26 27 28 34,5326  5787  7329 10303 11241 12800 11847 15131,1716449395.2324528694
3 10 11 18 19 20 26 27 28 34,5093 14019  5286 13170  6142  9942 11066 12800 11535 10459,1716449395.2756710052
3 10 11 18 19 20 26 27 28 34 42,4761 12868  5149 10502  5947  9885 11074 10989 11170 10128 13109,1716449395.3185691833
3 10 11 18 19 20 26 27 28 34 36 42,4294 12122  4655  6396  5374  9980  8119 10873 11470 10209 13486 10899,1716449395.3616766930
3 10 11 18 19 20 26 27 28 34,3455 7859 3468 4799 4225 7545 6178 8491 8856 8141,1716449396.6083867550
3 10 11 18 19 20 26 27 28 34,3644 10449  3963  5567  4410  8676  6512  8698  9125  8288,1716449396.6516296864
3 10 11 18 19 20 26 27 28 34,4108 12036  4351  6157  4738  9478  8455  8648 11505  9863,1716449396.6946904659
3 10 11 18 19 20 26 27 34,4325 12560  4834  7687  5102  9764  8780  9029  9406,1716449396.7377233505
3 10 11 18 19 26 27,4987 15972  5750  8762  5765 10790  9155,1716449396.7806167603
3 11 19 26 27,5404  5987  7107 10825  9117,1716449396.8236060143
3 11 19 26 27,7066  7157  8834 11516  9634,1716449396.8665938377
3 11 19 27,7473  7675 11416 12852,1716449396.9095537663
3 11,12543  8956,1716449396.9523971081
3 11,13814  9110,1716449396.9955503941
3 11,13941  9214,1716449397.0385086536
11,9436,1716449397.0815203190
11,9870,1716449397.1244146824
11,12150,1716449397.1675624847
11,12240,1716449397.2105646133
