TAX,ADC,TS
11 19,11775 11642,1716451305.7753918171
11 19,11601 11712,1716451305.8184192181
11 19,10463 10715,1716451305.8613929749
11 19,10199 10501,1716451305.9043967724
11 19,10270 10437,1716451305.9473769665
11 19,10068 10276,1716451305.9903469086
11 19 27 28 42,10187 10637 12087 14269 13475,1716451306.0334043503
11 19 27 28 42,10005 10584 11775 12011 12884,1716451306.0762302876
11 19 27 28 42,9712 10306 11712 11671 12857,1716451306.1194756031
11 19 27 28 42 44,9491 10067 11577 11382  9240 13491,1716451306.1625814438
3 11 19 26 27 28 42 44,10264  9982 10509 15505 11709 11660  9355 13415,1716451306.2054696083
3 11 19 26 27 28 42 44,9234  9968  8751 13251 11671 11748  8939 13249,1716451306.2483804226
3 11 19 26 27 28 42 44,9012  9887  7750 12650 11595 11642  7847 13094,1716451306.2914781570
3 11 19 26 27 28 42 44,8648  9212  7400 12149 10084 11595  8340 12901,1716451306.3345007896
3 11 19 26 27 28 34 42 44,6440  9068  7244 11983  9963 11562 13369  8067 12974,1716451306.3774352074
3 11 19 26 27 28 34 42 44,6258  8980  7317 11722  9405 11425 12753  8247 12908,1716451306.4203519821
3 11 19 26 27 28 34 42 44,6215  8913  7323 11667  9388 11399 12553  6904 12729,1716451306.4634871483
3 11 19 26 27 28 34 42 44,6005  8833  7073 11391  9306 11436 12263  7532 12939,1716451306.5065450668
3 11 19 21 26 27 28 34 42 44,5961  8781  6771 11999 11392  9115 11162 12149  7799 13000,1716451306.5494432449
3 11 19 20 21 26 27 28 29 34 42 44,5903  8767  6739 15848 11817 11302  9168 11224 12630 12071  7446 12746,1716451306.5922889709
3 11 19 20 21 26 27 28 29 34 42 44,5419  8067  4704 13309 11077 10869  9042 10997 12257 11711  5244 11969,1716451309.5594336987
3 11 19 20 21 26 27 28 34 42 44,5458  8214  4941 13676 10941 10924  8988 11018 11879  5391 12177,1716451309.6024997234
3 11 19 20 21 26 27 28 34 42 44,5665  8288  5397 13751 11109 11247  9104 11152 11921  5872 12358,1716451309.6454732418
3 11 19 20 21 26 27 28 34 42 44,5879  8319  5852 14032 11239 12353  9079 11178 12413  6903 12226,1716451309.6883718967
3 11 19 20 21 26 27 28 34 42 44,6105  8537  6946 15073 11341 12625  9204 11281 13425  8021 12210,1716451309.7314319611
3 11 19 21 26 27 28 42 44,6335  8599  7345 11463 16165 10973 11137  8798 12867,1716451309.7742376328
3 11 19 27 28 42,9389  8625  7696 11082 10974  9122,1716451309.8172752857
11 19 27 28 42,8581  7737 11146 10907  9610,1716451309.8602218628
11 19 27 28 42,9449  9929 11517 11446 13791,1716451309.9033119678
11 19 27,9615 10052 11401,1716451309.9463131428
11 19 27,9744 10255 11566,1716451309.9893088341
11 19 27,10050 10491 11597,1716451310.0322101116
11 27,10055 11700,1716451310.0752286911
11,10696,1716451310.1182749271
