TAX,ADC,TS
17,14982,1716275910.5266973972
1 18,16244 15124,1716275910.5696666241
1 18,15848 14901,1716275910.6125288010
1 17 18,15800 15632 14675,1716275910.6557784081
1 17 18,15647 15129  8141,1716275910.6987240314
17 18,14923  5188,1716275910.7417035103
1 17 18,15922 15356  5892,1716275910.7846457958
17 18,14142 11086,1716275910.8276135921
1 17 18,16157 14271 10378,1716275910.8707375526
1 17 18,16200 14609  9407,1716275910.9137282372
1 17 18,15968 14367  8023,1716275910.9566218853
1 10 17 18,15698 13240 14354  6548,1716275910.9996831417
1 10 17 18,15576 13261 14562  6123,1716275911.0426914692
1 10 17 18,15064 12077 14906  5643,1716275911.0858986378
1 10 17 18 42,14512 10339 14517  5434 13623,1716275911.1285462379
1 10 17 18 42,14883  9618 14559  5431 12749,1716275911.1717624664
1 10 17 18 42,15098  9688 14233  5241 12607,1716275911.2146778107
1 10 17 18 42,14733  8527 13977  4919  9893,1716275911.2577230930
1 10 17 18 42,15678  7674 14055  4449  9891,1716275911.3006770611
1 10 17 18 19 26 42,15620  7688 13902  4747 12977 11567  9809,1716275911.3437142372
1  3 10 17 18 19 26 41 42,15310 11510  7447 13738  4642 12463  8316 15217  9159,1716275911.3867373466
1  2  3 10 17 18 19 26 41 42,15064 14456  7385  7476 11592  4797 10486  6831 14989  9180,1716275911.4296858311
1  2  3 10 17 18 19 26 41 42,16149 15590  7242  7190 11651  4794  9815  6425 14221  9025,1716275911.4725170135
1  2  3 10 17 18 19 26 34 41 42,16212 14345  7334  7030 14282  4659  8632  6441 14861 13293  8063,1716275911.5157399178
1  2  3 10 17 18 19 26 34 41 42,14389 14495  7122  6793 14429  4622  8555  6550 15171 13718  8291,1716275911.5588610172
1  2  3 10 17 18 19 26 41 42,14746 15920  7110  7060 14288  4615  8125  6787 13877  8213,1716275911.6016936302
1  2  3 10 17 18 19 26 41 42,14408 13976  6928  7234 15312  4755  8194  8309 13523  7900,1716275911.6445209980
1  2  3 10 17 18 19 26 41 42,14118 14152  6839  6818 15818  4689  7823  7313 14163  7549,1716275911.6876814365
1  2  3 10 17 18 19 26 41 42,14522 13880  6607  6759 15262  4714  7139  6605 14305  7487,1716275911.7307057381
1  2  3 10 17 18 19 26 41 42,14630 13836  6537  6613 15095  4613  7086  6357 14243  6697,1716275911.7736351490
1  2  3 10 17 18 19 26 34 41 42,14446 13706  6088  6484 14984  4528  6412  5923 15456 11722  6245,1716275911.8166317940
1  2  3 10 17 18 19 26 34 41 42,14570 13536  5933  6360 15419  4505  6226  5663 14830 12217  5972,1716275911.8597126007
1  2  3 10 17 18 19 26 34 41 42,14488 13373  5879  6273 14817  4323  6023  5639 14551 11050  5588,1716275911.9027047157
1  2  3 10 11 17 18 19 26 34 41 42,14315 13074  4851  5738 14360 14996  4235  5830  5117 13591 10891  5165,1716275911.9456756115
1  2  3 10 11 17 18 19 26 34 41 42,14424 10310  4194  5535 12541 15164  4175  5571  5012  9243 10583  4809,1716275911.9885063171
1  2  3 10 11 17 18 19 26 34 41 42,14400  9686  4151  5467 12370 12238  4210  5418  4735  8200 10260  4514,1716275912.0317196846
1  2  3 10 11 17 18 19 26 34 41 42,10516  8969  4025  5518 11955 12295  4223  5207  4577  7876 10170  4436,1716275912.0747330189
1  2  3 10 11 17 18 19 26 34 41 42,10389  8230  3957  5446 12035 12196  4146  5044  4478  7849 10366  4129,1716275912.1176462173
1  2  3 10 11 17 18 19 26 34 41 42,10388  8475  3800  5239 11882 12321  4093  4795  4327  7781 10420  3996,1716275912.1605646610
1  2  3 10 11 17 18 19 26 34 41 42,14056  6875  4551  4999 12429 12392  3798  5165  4405  7557 10977  6198,1716275914.2246017456
1  2  3 10 11 17 18 19 26 34 41 42,14100  7303  4942  5187 14992 12544  3927  5369  4531  8412 10895  6358,1716275914.2675168514
1  2  3 10 17 18 19 26 34 41 42,14168  8611  5107  5426 12441  3964  5714  4823  8715 10811  6803,1716275914.3105518818
1  2  3 10 17 18 19 26 34 41 42,14130  8754  5586  5586 12558  4036  6626  4959 10482 10900  7643,1716275914.3535540104
1  2  3 10 17 18 19 26 41 42,13652  9723  6399  6029 13008  4258  7015  5441 12598 10302,1716275914.3962407112
1  2  3 10 17 18 19 26 41 42,14060 11579  6852  6084 12516  4500  8450  5655 12643 10589,1716275914.4394879341
1  2  3 10 17 18 26 41 42,13927 13970  6980  6312 12528  4351  7018 12519 10746,1716275914.4824998379
1  2  3 10 17 18 26 41 42,14602 14424  7422  6457 12591  4537  7841 12696 13234,1716275914.5255827904
1  2  3 10 17 18 26 41 42,15098 14132  8644  7089 12557  5007 10328 12453 13858,1716275914.5683686733
1  2  3 10 17 18 26 41 42,15402 14845  8734  7889 12610  5149 11380 12710 13126,1716275914.6115624905
1  2 10 17 18 41,14912 14074  8632 12572  5823 12863,1716275914.6545190811
1  2 10 17 18,14351 14468  9515 12457  7268,1716275914.6975388527
1  2 10 17 18,15413 14465  9709 12595  7636,1716275914.7405025959
1 10 17 18,15492 10258 14974  9568,1716275914.7835860252
1 10 17 18,15431 10975 15471 10887,1716275914.8264763355
1 10 17 18,16194 12974 15650 11303,1716275914.8694980145
1 10 17 18,16139 12371 16275 11397,1716275914.9124021530
1 10 17,15720 15191 16210,1716275914.9554598331
10 17,15993 15610,1716275914.9984295368
17,15866,1716275915.0845155716
17,15819,1716275915.1272988319
17,15195,1716275915.1704580784
17,15208,1716275915.2134382725
17,15266,1716275915.2564885616
