TAX,ADC,TS
28,11536,1716264892.3668470383
28 45,10947 12005,1716264892.4098656178
28 45,11141 11965,1716264892.4528045654
28 45,11020 11961,1716264892.4958612919
11 28 42 45,12338 11211 14904 12029,1716264892.5388112068
11 19 28 42 45,11009 11387 11370 12853 11918,1716264892.5819125175
11 19 28 42 45,10656 10523 11260 12662  8438,1716264892.6247293949
11 19 28 42 45,10500 10295 11176 12639  8109,1716264892.6679098606
11 19 28 42 45,10137 10111 11042 11971  7184,1716264892.7107830048
11 19 28 42 45,9928 10030 10921 11848  7149,1716264892.7539255619
11 19 28 42 45,9891  9980 10941 12034  7298,1716264892.7969088554
11 19 27 28 29 42 45,9925 10161 14398 11061 12061 11341  7167,1716264892.8398327827
11 19 27 28 29 42 45,9833 10119 13807 11032 11921 11469  7283,1716264892.8829061985
11 19 26 27 28 29 42 45,10073 10349 12104 13560 11077 11777 11252  7122,1716264892.9259142876
11 19 26 27 28 29 42 45,9948 10260  9868 13267 11058 11549  9818  7118,1716264892.9689462185
11 19 26 27 28 29 42 45,9909 10167  9894 12981 11045 11402  9501  6926,1716264893.0118715763
11 19 26 27 28 29 42 44 45,9756  9866  9647 12879 10985 11121  9782 14691  6942,1716264893.0548706055
11 19 26 27 28 29 42 44 45 53,9738  9886  9441 12798 10866 10970  8991 14281  7009 14407,1716264893.0978951454
11 19 26 27 28 29 42 44 45 53,9535  8288  9286 12651 10839 10755  8819 13452  7020 11362,1716264893.1409099102
11 19 26 27 28 29 42 44 45 53,9494  8022  9179 12584 10710 10607  8420 13472  6995 10862,1716264893.1838624477
11 19 20 26 27 28 29 42 44 45 53,9393  7972 15105  9093 12533 10762 10571  8040 13384  7063 10727,1716264893.2268564701
11 19 20 21 26 27 28 29 42 44 45 53,9256  7869 14420 11784  8881 12453 10722 10645  7801 13085  6917 10586,1716264893.2699229717
11 19 20 21 26 27 28 29 42 44 45 53,9262  7699 13752 11506  8833 12441 10693 10548  8065 12987  6939  9003,1716264893.3129179478
11 19 20 21 26 27 28 29 42 44 45 53,9202  7614 13305 11409  8642 12389 10760 10477  7706 12928  6882  8833,1716264893.3559389114
11 19 20 21 26 27 28 29 42 44 45 53,8617  5886 11148 10480  8161 12323 10196 10440  7695 12684  6672 10611,1716264896.4530379772
2 11 19 20 21 26 27 28 29 42 44 45,15464  8833  6518 12086 10677  8607 12375 10291 10568  8349 13167  6579,1716264896.5392539501
2 11 19 20 21 26 27 28 29 42 44 45,16339  8959  6952 13062 10844  8682 12773 10302 10636  8490 13182  6622,1716264896.5820138454
11 19 20 21 26 27 28 29 42 44 45,8991  7018 13482 10762  8804 12804 10330 10697  9461 13031  6823,1716264896.6250765324
11 19 20 21 26 27 28 29 42 44 45,9144  7317 13950 10978  9020 12767 10517 10914 10067 13098  6863,1716264896.6681447029
11 19 20 21 26 27 28 29 42 44 45,9209  7451 14312 11082  9557 12617 10708 10969 10250 14459  6983,1716264896.7111034393
11 19 20 21 26 27 28 29 42 44 45,9353  7909 15973 12069 13138 12640 10837 11194 10383 14281  6927,1716264896.7540833950
11 19 26 27 28 29 42 44 45,9356  9490 13323 12583 10751 11050 10798 14977  6933,1716264896.7970559597
11 19 26 27 28 29 42 45,9490  9796 14166 12642 10920 10964 11535  6871,1716264896.8399899006
11 19 27 28 29 42 45,9406  9824 12469 10853 11075 12460  7000,1716264896.8830914497
11 19 27 28 29 42 45,9592  9918 12592 10883 11429 12526  7065,1716264896.9260172844
11 19 27 28 29 42 45,9726 10012 12841 10975 11714 12766  7073,1716264896.9690878391
11 19 27 28 45,9714  9999 12865 10943  7999,1716264897.0119390488
11 19 27 28 45,9687  9989 12990 10866  8090,1716264897.0550596714
11 19 28 45,9641  9880 10894  8520,1716264897.0980367661
11 19 28 45,9952 10117 11290  8745,1716264897.1410799026
11 19 28 45,10141 10298 11461  8846,1716264897.1839971542
11 19 28 45,10359 10493 11632 12263,1716264897.2270896435
28 45,11101 12193,1716264897.2700579166
28 45,11071 12310,1716264897.3130421638
19 28 45,10783 11350 12191,1716264897.3560769558
28,11399,1716264897.3990113735
28,10945,1716264897.5279626846
28,10503,1716264897.5709972382
28,10731,1716264897.6140389442
28,10707,1716264897.6570296288
28,10719,1716264897.6999511719
28,11365,1716264897.7430694103
