TAX,ADC,TS
28,11022,1716266586.9698219299
28,11058,1716266587.0127968788
28,10956,1716266587.0558342934
28,10945,1716266587.0988531113
28,10989,1716266587.1418418884
11 19 20 28,10137 10510 15049 11527,1716266587.1847054958
11 19 20 27 28,9809 10390 15359 13213 11345,1716266587.2278647423
11 19 20 27 28,9472  9884 14263 12953 11103,1716266587.2708265781
11 19 20 27 28,9384  7935 13539 12683 10996,1716266587.3138275146
11 19 20 27 28,9352  7781 13450 12577 10952,1716266587.3568217754
11 19 20 27 28,9037  7415 12922 12351 10836,1716266587.3998734951
11 19 20 27 28,9009  7386 12906 12430 10805,1716266587.4428687096
11 19 20 27 28,8900  7333 12282 12255 10639,1716266587.4858345985
11 19 20 26 27 28,8999  7418 12409 11708 12280 10616,1716266587.5286676884
11 18 19 20 26 27 28,9043 10174  6961 11549 11217 12298 10710,1716266587.5719087124
11 18 19 20 26 27 28 44,8953  9586  6665 11171 10953 12259 10562 14653,1716266587.6148946285
11 18 19 20 26 27 28 29 44,8910  9496  6747 10938 10901 12286 10781 11826 13556,1716266587.6578509808
11 18 19 20 26 27 28 29 44,8837  8026  5931 10632 10892 12220 10696 11297 13679,1716266587.7008864880
10 11 18 19 20 21 26 27 28 29 44,14148  8870  7743  5556 10589 11474 10686 12217 10770 11157 13201,1716266587.7439072132
10 11 18 19 20 21 26 27 28 29 44 45,13872  8101  6805  5314 10387 11239 10568 10088 10767 10898 12901 12144,1716266587.7869434357
10 11 18 19 20 21 26 27 28 29 44 45,12794  7538  5950  4861 10189 10988 10418 10019 10776 10884 10248  8640,1716266587.8298175335
10 11 18 19 20 21 26 27 28 29 36 44,8026  5331  4695  4331  9344 10445 10205  8360  8201 10623  8895 12991,1716266590.3238480091
10 11 18 19 20 21 26 27 28 29 36 44,8765  7765  4916  4443  9510 10686 10496  8767 10247 10752 12173 13078,1716266590.3668375015
10 11 18 19 20 21 26 27 28 29 36 44,9172  8059  7632  4831 10006 10906 10775  8954 10653 11603 12086 12949,1716266590.4098000526
10 11 18 19 20 26 27 28,10832  8851  7861  4983  9964 11021  9080 10486,1716266590.4527356625
10 11 18 19 20 27 28,13392  8749  9460  5695 10297 11981 10302,1716266590.4958138466
10 11 18 19 20 27 28,13465  8730 14164  6509 10563 12113 10289,1716266590.5388216972
11 19 20 27 28,8829  7198 11993 12025 10473,1716266590.5817673206
11 19 20 27 28,9786 10263 12617 12343 10867,1716266590.6247360706
11 19 20 28,9943 10462 13807 11009,1716266590.6677720547
11 19 20 28,10813 11203 15395 11751,1716266590.7107617855
19 28,13349 10532,1716266590.7537503242
19 28,15301 10932,1716266590.7965297699
19 20 28,10737 15194 11820,1716266590.8395748138
11,9719,1716266590.8825509548
20 28,13018 15770,1716266590.9268188477
