TAX,ADC,TS
19,13300,1716270969.8755567074
19,12317,1716270969.9185011387
19,13839,1716270969.9615101814
19,12517,1716270970.0043876171
19,11706,1716270970.0474925041
19,10360,1716270970.0904567242
19 28,10601 12611,1716270970.1335031986
11 19 28,13475 10366 11780,1716270970.1764004230
11 19 28,11300 10407 11772,1716270970.2194817066
11 19 28,10373 10311 11547,1716270970.2624881268
11 19 28,10109  8522 11350,1716270970.3055167198
11 19 28,9841  7443 11225,1716270970.3483858109
11 19 20 28 44,9665  6885 13807 11134 14914,1716270970.3915083408
11 19 20 28 44,9253  5834 13647 10939 13550,1716270970.4344506264
11 19 20 28 44,9035  5531 12969 10791 13257,1716270970.4775280952
11 19 20 28 29 44,9102  5486 12899 10935 12473 12937,1716270970.5203711987
11 19 20 28 29 44,9053  5285 12597 11037 11770 12643,1716270970.5635218620
10 11 19 20 28 29 44,15261  8927  4974 12228 11097 11039 12565,1716270970.6065108776
10 11 19 20 28 29 44,11373  8833  4786 12199 10805 10815 12494,1716270970.6495103836
10 11 19 20 28 29 44,10817  7099  4397 11127 10699 10615 12436,1716270970.6925101280
10 11 19 20 27 28 29 42 44,10345  6448  4383 11007 13162 10651 10383 14650 12353,1716270970.7355422974
10 11 19 20 21 27 28 29 42 44,9228  5624  4310 10958 12491 12464 10686 10557 13138 12062,1716270970.7785682678
10 11 19 20 21 27 28 29 42 44,9025  4959  4138 10715 11258  9025 10699 10448 13530  9697,1716270970.8215489388
10 11 19 20 21 26 27 28 29 34 42 44,7760  4207  4091 10521 10990 11892  8208 10678 10415 15782 12273  9046,1716270970.8644809723
10 11 19 20 21 26 27 28 29 34 42 44,7298  3889  3952 10334 10926 11516  8111  9387 10198 15661 11771  7421,1716270970.9075684547
10 11 19 20 21 26 27 28 29 34 42 44,6360  3496  3736  9628 10824 11301  7667  8009  8124 11885 10909  5959,1716270970.9505658150
10 11 19 20 21 26 27 28 29 34 44,5967  2987  3257  6508 10027 10833  6997  6455  7287 11972  9172,1716270973.0575168133
10 11 19 20 21 27 28 29 34 44,6283  3303  3518  8828 10234  7582  7775  7617 11881 11487,1716270973.1004092693
10 11 19 20 21 27 28 29 34 44,6624  3685  3671  9140 10308  8150  9980  8000 11775 11855,1716270973.1434926987
10 11 19 20 21 27 28 29 44,7174  4126  3788  9734 10632  8771 10154 10100 12191,1716270973.1864647865
10 11 19 20 21 27 28 29 44,7553  4646  3918  9976 10869  8973 10260 10222 13507,1716270973.2294125557
10 11 19 20 27 28 29,8521  6501  4163 10286 12569 10500 10335,1716270973.2723786831
10 11 19 20 27 28 29,9992  8038  4372 10674 12709 10683 10797,1716270973.3154482841
10 11 19 20 27 28,11441  8723  4570 10650 12539 10614,1716270973.3584256172
10 11 19 20 27 28,13200  8891  4879 11483 12768 10810,1716270973.4013719559
11 19 20 27 28,8974  5220 12275 12894 10937,1716270973.4443726540
11 19 20 28,9289  5671 13198 11125,1716270973.4874310493
11 19 20 28,9710  6825 15451 11377,1716270973.5304329395
11 19 28,10372 10477 11831,1716270973.5733892918
11 19 28,14135 11373 12572,1716270973.6162941456
19,8197,1716270973.6593909264
19,10261,1716270973.7023918629
27,15459,1716270973.7453510761
19,9711,1716270973.7883093357
19 28,10611 11803,1716270973.8375306129
