TAX,ADC,TS
11,10979,1716265927.3307948112
11,10972,1716265927.3738372326
11,11050,1716265927.4167723656
11,10827,1716265927.4596688747
11,9502,1716265927.5026392937
11,9087,1716265927.5455863476
11 19,9636 10420,1716265927.5885815620
11 19,9236 9815,1716265927.6316127777
11 19 20 28,9356 10030 15315 11817,1716265927.6746451855
11 19 20 28,8982  7408 14314 11256,1716265927.7176585197
10 11 19 20 28,13250  8912  6611 13576 11289,1716265927.7605721951
10 11 19 20 21 27 28 29,14814  8998  6099 13922 12471 14033 11466 11876,1716265927.8036098480
10 11 19 20 21 27 28 29,11679  8981  5526 12766 11700 12783 11310 11391,1716265927.8466565609
10 11 19 20 21 27 28 29,10872  7153  5218 12270 11346 12583 11392 11100,1716265927.8897576332
10 11 19 20 21 27 28 29,10104  5819  4691 11632 10971 12450 11103 10683,1716265927.9326233864
10 11 19 20 21 27 28 29,9097  5158  4481 11282 10851 12638 10833 10593,1716265927.9758000374
10 11 18 19 20 21 26 27 28 29,8472  4968 11844  4495 10695 10637 13143 12513 10602 10463,1716265928.0188305378
10 11 18 19 20 21 26 27 28 29,8243  4552 10905  4436 10502 10700  9025  9539 10496 10384,1716265928.0617885590
10 11 18 19 20 21 26 27 28 29,8355  4025 10609  4327 10548 10674  8780  9413 10361 10447,1716265928.1046922207
10 11 18 19 20 21 26 27 28 29 35 44,7565  3692  8971  4045 10093 10456  8410  8818 10469  8615 14849 13095,1716265928.1478533745
10 11 18 19 20 21 26 27 28 29 35 44,7039  3574  8802  3965  9851 10248  8293  8207  9883  9277 14626 12451,1716265928.1908452511
10 11 18 19 20 21 26 27 28 29 35 36,6623  3509 10236  3752  9461  9989  8575  8479 10384  8079 14541 13513,1716265930.4265160561
10 11 18 19 20 21 26 27 28 29,6621  3710 10423  3854  9648 10042 12290  8595  9955  7977,1716265930.4694681168
10 11 18 19 20 21 27 28 29,7302  4226 10570  3971  9859 10188 11688 10012 10261,1716265930.5124864578
10 11 18 19 20 21 27 28 29,7769  5003 10961  4362 10222 10645 12219 10174 10394,1716265930.5554800034
10 11 19 20 21 27 28 29,7850  6953  4713 11081 11167 12718 10622 10876,1716265930.5984823704
10 11 19 20 21 28,8220  8708  4935 11912 11213 10787,1716265930.6414353848
10 11 19 20 21 28,8992  8788  5348 11893 11297 11161,1716265930.6843953133
10 11 19 20 28,13896  9069 10091 13264 12197,1716265930.7274563313
11 19,8697 9464,1716265930.7704064846
11,8815,1716265930.8133921623
11,9761,1716265930.8563942909
11,9793,1716265930.8993911743
11,13539,1716265930.9423747063
