TAX,ADC,TS
11 28,10983 12634,1716262678.9783511162
11 28,10349 11833,1716262679.0213313103
11 28,9921 11600,1716262679.0642356873
11 19 28,10153 10574 11742,1716262679.1073758602
11 19 28,9933 10351 11457,1716262679.1503584385
11 19 28,9658 10101 11372,1716262679.1933567524
11 19 28,9374  9933 11261,1716262679.2362270355
11 19 28 29,9269  9908 11326 12094,1716262679.2793517113
11 19 28 29,9220  9952 11362 11705,1716262679.3222949505
11 19 28 29,9029  8815 11138 11348,1716262679.3653173447
11 19 20 28 29,8923  7223 15407 10942 10926,1716262679.4083089828
11 19 20 28 29 44,8893  6711 15161 10849 10653 14409,1716262679.4513590336
11 19 20 26 27 28 29 44,8897  6623 14986 10152 13127 11090 10833 13419,1716262679.4944241047
11 19 20 21 26 27 28 29 44,8650  6133 15152 14260  9457 12906 11071 10604 12851,1716262679.5373692513
11 19 20 21 26 27 28 29 44,8609  6003 14976 14210  9236 12767 11165 10567 12631,1716262679.5802624226
11 19 20 21 26 27 28 29 44 45,8557  5590 15523 12957  8899 12490 11102 10480 12650 12943,1716262679.6234073639
10 11 18 19 20 21 26 27 28 29 44 45,15480  8516 14340  5280 15170 11380  8602 11480 11132 10617 12733 10686,1716262679.6663966179
10 11 18 19 20 21 26 27 28 29 44 45,11427  8503 11770  5045 14726 10878  8427 11630 11074 10529 12596 10103,1716262679.7094013691
10 11 18 19 20 21 26 27 28 29 36 44,6877  6719  8069  4293 10951 10063  8173  7863  9456 10432 12215 12783,1716262682.1601619720
10 11 18 19 20 21 26 27 28 29 36 44,6983  7832  8878  4304 11309 10203  8313  7950  9995 10355 12733 13509,1716262682.2033381462
10 11 18 19 20 21 26 27 28 29,7828  8743  9312  4723 11980 10512  8887  8212 10798 10582,1716262682.2464358807
10 11 18 19 20 21 26 27 28 29,8595  8790 11842  4889 11995 10504  9270  8342 10915 10539,1716262682.2893762589
10 11 19 20 21 26 27 28 29,10728  8792  5118 12660 10815 12940  8431 10925 10836,1716262682.3321840763
10 11 19 20 21 27 28 29,9993  7906  5333 13694 10964  8424 10911 10817,1716262682.3753633499
10 11 19 20 21 27 28 29,11870  8903  6066 13958 11297  9229 11186 11273,1716262682.4183833599
11 19 20 27 28 29,8838  7156 15528 12320 10806 11411,1716262682.4614200592
11 19 28 29,8797  8543 10940 11515,1716262682.5042676926
11 19 28,8833  9612 11029,1716262682.5473468304
11 19 28,9159  9742 11151,1716262682.5902576447
11 19 28,9571 10064 11502,1716262682.6332409382
11 19 28,10759 12284 12513,1716262682.6761829853
11,10257,1716262682.7192265987
