TAX,ADC,TS
19 28 29,10275 11152 11012,1716267614.3605108261
19 28 29,10340 11189 11071,1716267614.4034230709
19 28 29,10248 11123 11052,1716267614.4465782642
19 28 29,10076 11019 10925,1716267614.4892740250
19 28 29,10078 10999 10876,1716267614.5322217941
19 21 28 29,10013 12508 11051 10893,1716267614.5753676891
19 21 27 28 29,10148 11724 13387 11271 10877,1716267614.6183469296
19 21 27 28 29,10063 11699 13083 11274 10849,1716267614.6613817215
19 21 27 28 29,9803 11512 12825 11144 10644,1716267614.7042150497
19 21 27 28 29,9712 11152 12592 10943 10499,1716267614.7473669052
19 21 27 28 29,9674 10887 12486 10914 10560,1716267614.7903864384
19 21 27 28 29,9485 10839 12397 10817 10375,1716267614.8333201408
19 21 27 28 29,9371 10801 12259 10762 10372,1716267614.8762753010
19 21 27 28 29,9267 10527 12256 10623 10182,1716267614.9193499088
19 21 27 28 29,8869 10467 12281 10671 10205,1716267614.9623723030
19 21 27 28 29 34,7867 10572 12545 10702 10181 12349,1716267615.0053753853
19 21 27 28 29 34,7607 10365 12802 10649 10089 12006,1716267615.0482711792
11 19 21 27 28 29 34,10422  7523 10315 12916 10653 10087 11975,1716267615.0913920403
11 19 21 27 28 29 34,10041  6751 10246 12892 10671 10045 10026,1716267615.1344318390
11 19 21 27 28 29 34,9634  6488 10063 12630 10490 10026  9950,1716267615.1773693562
10 11 19 21 27 28 29 34,15884  9483  6077 10104 11840 10501  9966  9897,1716267615.2203798294
11 19 21 26 27 28 29 34,9549  5834  9987 11684 12038 10592 10009  8712,1716267615.2633924484
10 11 19 21 26 27 28 29 34,14271  9413  5711  9899 11649 11650 10388  9984  8538,1716267615.3063700199
10 11 18 19 20 21 26 27 28 29 34,12616  9353 11087  5575 16144  9891 11410 10388 10136  9945  8273,1716267615.3494100571
10 11 18 19 20 21 26 27 28 29 34,11566  9258 10936  5483 15387  9780 11764  9045  9712  9970  8174,1716267615.3922951221
10 11 18 19 20 21 26 27 28 29 34,10846  9115 10705  5305 15230  9709 14212  8880  9355  9930  7953,1716267615.4354588985
10 11 18 19 20 21 26 27 28 29 34 42,10302  8990 10548  4971 15251  9833 11117  8708  8902  9913  7646 13106,1716267615.4784357548
10 11 18 19 20 21 26 27 28 29 34 42,9907  8993 10428  4924 15302  9848 11063  8609  8216  9859  7758 12203,1716267615.5214231014
10 11 18 19 20 21 26 27 28 29 34 42,9198  8804 10286  4732 14527  9619 10863  8564  7317  9507  6907 10727,1716267615.5642819405
