TAX,ADC,TS
11 28,10500 12555,1716191295.0243542194
11 28,10542 12677,1716191295.0676491261
11 28,10448 12590,1716191295.1108105183
11 28,10406 12311,1716191295.1536760330
11 28,9865 11739,1716191295.1965250969
11 28,9369 11171,1716191295.2395646572
11 19 28,9214 10720 11302,1716191295.2825524807
11 19 28,8943 10030 11073,1716191295.3256020546
11 19 28 29,8874  9745 11107 12007,1716191295.3683576584
11 19 21 28 29,8911  9762 11631 11388 11612,1716191295.4115366936
11 19 21 28 29,8930  9805 11301 11251 11146,1716191295.4545927048
3 11 19 20 21 28 29,8236  8974  9930 15228 11234 11278 11108,1716191295.4976317883
3 11 19 20 21 28 29 44,7723  8834  9512 14000 11011 11221 10866 14311,1716191295.5403769016
3 11 19 20 21 27 28 29 44,7559  8807  7663 13270 10873 13520 11407 10935 13489,1716191295.5836722851
3 11 19 20 21 27 28 29 44,5658  8814  7005 13224 10790 13028 11420 10819 12889,1716191295.6264872551
3 11 19 20 21 27 28 29 44,5436  8760  6020 12625 10728 12733 11127 10704 12513,1716191295.6695661545
3 11 19 20 21 27 28 29 44,5275  8637  5671 12525 10482 12484 10827 10505 12661,1716191295.7123458385
3 11 19 20 21 27 28 29 44,5104  8701  5528 12019 10349 12365 10710 10424 12671,1716191295.7555668354
3 11 19 20 21 26 27 28 29 44,5034  8776  5240 11363 10460  9546 12290 10700 10323  9217,1716191295.7985348701
3 11 19 20 21 26 27 28 29 34 44,5051  8775  4775 11087 10420  9147 12270 10715  9835 11879  7138,1716191295.8415899277
3 11 19 20 21 26 27 28 29 34 36 44,4939  8831  4617 10880 10209  8944 12299 10800  8368 11603 14314  5891,1716191295.8845815659
3 11 19 20 21 26 27 28 29 36 44,3941  7409  3968  9876  9801  8359  9789 10172  9477 12773 12085,1716191297.9482326508
3 11 19 20 21 26 27 28 29 36 44,4123  7453  4036  9995  9843 13102 11632 10235  9623 13316 12805,1716191297.9912683964
3 11 19 20 21 27 28 29 44,4806  7500  4278 10174 10015 11693 10291  9925 12735,1716191298.0342116356
3 11 19 20 21 27 28 29,4907  7513  4485 10363 10130 11927 10220  9943,1716191298.0772252083
3 11 19 20 21 27 28 29,5085  7626  5268 10779 10394 12095 10303 10041,1716191298.1201858521
3 11 19 20 21 27 28 29,5414  8689  5971 11506 10727 12421 10703 10453,1716191298.1631984711
3 11 19 20 21 28 29,7242  8733  8892 12031 10931 10879 10928,1716191298.2062191963
3 11 19 20 21 28 29,11419  8788  9734 13078 11312 11157 11092,1716191298.2492361069
11 19 21 28,8626  9405 11007 11077,1716191298.2921562195
11 19 28,8767  9697 11347,1716191298.3351821899
11 28,8829 11386,1716191298.3781099319
11,9220,1716191298.4211061001
11,9950,1716191298.4641001225
11,10014,1716191298.5070991516
