TAX,ADC,TS
11,8687,1716179970.1615741253
11,8677,1716179970.2043914795
11,8683,1716179970.2474508286
11,8667,1716179970.2904689312
11,8596,1716179970.3334076405
11 28,8825 12699,1716179970.3763875961
11 28,8731 11579,1716179970.4194159508
11 28,8679 11011,1716179970.4624590874
11 28,8618 10813,1716179970.5054755211
3 11 28,8910  8849 10954,1716179970.5483801365
3 11 19 28,6687  9119 10148 11170,1716179970.5914721489
3 11 19 28,6380  9151  9808 10879,1716179970.6345002651
3 11 19 28,6185  9050  9629 10848,1716179970.6774792671
3 11 19 28,5985  8921  9628 10727,1716179970.7203750610
3 11 19 28,5899  8869  9530 10711,1716179970.7634782791
3 11 19 20 26 28,5983  8995  9639 13868 15235 10761,1716179970.8065016270
3 11 19 20 26 28,5803  9008  9579 11919 14911 10813,1716179970.8494992256
3 11 19 20 26 28 44,5657  8869  9140 11626 14374 10859 13479,1716179970.8924078941
3 11 19 20 21 26 27 28 44,5773  8919  9470 11831 12186 14535 14629 11126 13189,1716179970.9354829788
3 11 19 20 21 26 27 28 44,5583  8767  9270 11819 11326 14325 13275 11195 12970,1716179970.9785139561
3 11 19 20 21 26 27 28 29 34 44,5555  8813  8433 11197 11243 14194 13121 11397 12734 12321 12541,1716179971.0215444565
3 11 19 20 21 26 27 28 29 34 44,5289  8677  6693 10847 10864 13824 12741 11019 11729 11688 12335,1716179971.0643641949
3 11 19 20 21 26 27 28 29 34 42 44,5253  8665  6055 10542 10637 13678 12493 11006 11591 11593 12904 12370,1716179971.1076467037
3 11 19 20 21 26 27 28 29 34 42 44,4442  8655  5695 10593 10669 13453 12431 11098 11414 11752 12860 12429,1716179971.1506204605
3  4 11 19 20 21 26 27 28 29 34 44,4211  9557  7484  4855  9927 10044 10733 12261 10409 10898  8921 12877,1716179973.2145342827
3  4 11 19 20 21 26 27 28 29 34 44,4303 12594  7697  5567 10184 10312 11521 12442 10551 11349  9303 12990,1716179973.2575654984
3 11 19 20 21 26 27 28 29 34,4286  8620  5910 10457 10455 11662 12493 10594 11739 11947,1716179973.3004338741
3 11 19 20 21 26 27 28,5199  8649  8904 10542 10271 13806 12504 10501,1716179973.3435611725
3 11 19 20 21 26 27 28,5309  8759  9187 10846 10460 13976 12570 10478,1716179973.3865664005
3 11 19 20 21 26 28,5505  8767  9422 11427 11582 13713 10534,1716179973.4295628071
3 11 19 20 28,5456  8640  9416 12465 10724,1716179973.4724156857
3 11 19 20 28,5643  8720  9451 13364 10785,1716179973.5155377388
3 11 19 28,6007  8853  9654 10846,1716179973.5585367680
3 11 19 28,6255  8831  9775 10832,1716179973.6015191078
11 28,8346 10477,1716179973.6443841457
11 28,8530 11130,1716179973.6875059605
11,8409,1716179973.7305135727
11,8577,1716179973.7735071182
11,8790,1716179973.8163776398
11,8875,1716179973.8594820499
11,9238,1716179973.9179866314
