TAX,ADC,TS
11,9875,1716195258.5725014210
11 19 28,10491 10913 14471,1716195258.6156840324
11 19 28,10228 10603 12222,1716195258.6587064266
11 19 28,9658 10108 11607,1716195258.7017123699
11 19 28,9567  8240 11371,1716195258.7446014881
11 19 28,9419  8118 11185,1716195258.7877111435
11 19 28,9308  6361 11098,1716195258.8306479454
11 19 28 29,9021  5813 11121 11902,1716195258.8736603260
11 19 20 28 29,9013  5556 15563 11132 11288,1716195258.9166195393
11 19 20 27 28 29,9018  5555 14732 13010 11323 10929,1716195258.9596996307
3 11 19 20 21 27 28 29,11442  9003  5229 13630 11479 12681 11252 10868,1716195259.0026659966
3 11 19 20 21 27 28 29 42,8387  9014  5085 13064 11263 12665 11231 10718 12355,1716195259.0457427502
3 11 19 20 21 27 28 29 42,8096  9022  4799 12392 11163 12583 11268 10679 12286,1716195259.0885181427
3 11 18 19 20 21 26 27 28 29 42,6111  9195 11743  4812 11702 11004 11281 12522 11107 10621 11829,1716195259.1317472458
3 11 18 19 20 21 26 27 28 29 42,5849  8993 11124  4498 11135 10812  9337 12326 10974 10407 11422,1716195259.1747381687
3 11 18 19 20 21 26 27 28 29 42 44,5419  8787  8253  4174 10618 10530  8968 12284 10714 10138 11231 13661,1716195259.2177441120
3 10 11 18 19 20 21 26 27 28 29 35,4845 13273  7792  7585  3589  9393  9746  8302  9818  8053  5695 14888,1716195261.0237882137
3 10 11 18 19 20 21 26 27 28 29,4973 13491  7854  7677  3721  9437  9995  8669 12007 10207  7789,1716195261.0668082237
3 11 18 19 20 21 26 27 28 29,5090  7995  7864  3810  9811 10283 13174 12338 10387  8179,1716195261.1097922325
3 11 18 19 20 21 27 28 29,5299  8075 10473  3906 10345 10547 12235 10542 10440,1716195261.1527380943
3 11 18 19 20 21 27 28 29,7392  8211 10888  4247 10764 10883 12813 10538 10677,1716195261.1958649158
3 11 19 20 21 27 28 29,11231  8788  4557 11245 11136 12704 10867 10884,1716195261.2388794422
11 19 20 21 27 28 29,8799  4947 12031 11240 12640 11183 11346,1716195261.2818105221
11 19 20 28,8772  5257 14205 10954,1716195261.3246085644
11 19 28,8721  5762 10963,1716195261.3678340912
11 19 28,9174  9565 11850,1716195261.4108111858
11 19 28,9627 10009 11875,1716195261.4537856579
11 28,9782 11727,1716195261.4966082573
28,11319,1716195261.5397598743
