TAX,ADC,TS
28,12205,1716193094.2096798420
28,10902,1716193094.2524654865
20 28,14875 10859,1716193094.2957108021
20 28,14109 10899,1716193094.3388228416
20 28,13215 10901,1716193094.3816416264
20 28,12265 10823,1716193094.4246258736
20 28,11573 10795,1716193094.4678065777
20 28,10959 10638,1716193094.5107030869
20 28,10687 10597,1716193094.5537745953
20 28,10450 10619,1716193094.5966134071
20 27 28 42 44,10289 11356 10859 12204 14049,1716193094.6400291920
20 27 28 42 44,10169 11445 10949 11273 12678,1716193094.6829440594
20 27 28 42 44,10030 11285 11003 11141 12515,1716193094.7259433270
20 27 28 42 44,9883 11204 10931  9447 12369,1716193094.7687954903
20 27 28 42 44,9143 11181  7990  8390 12329,1716193094.8119404316
20 27 28 42 44,7963 11053  6801  6802 12139,1716193094.8549416065
20 27 28 42 44,6810 10961  6402  6024 12168,1716193094.8979184628
20 27 28 42 44,6567  9651  5947  5215 12189,1716193094.9407587051
20 27 28 42 44,6439  9401  5713  4173 12137,1716193094.9839410782
12 20 27 28 42 44,15374  6577  9302  4882  3946 12141,1716193095.0269770622
12 20 27 28 29 42 44,15759  5905  9269  4923 12730  3571 12058,1716193095.0700044632
12 20 27 28 29 42 44,13776  5458  9193  4311 11496  3297 12023,1716193095.1127252579
12 20 27 28 29 35 42 44,13113  5199  9173  4156 10908 12405  3130 11939,1716193095.1560451984
12 20 27 28 29 35 42 44,13016  4717  9139  3902 10617 11444  2854 11885,1716193095.1990289688
12 20 27 28 29 35 42 44,12984  4228  9357  3747 10515 12649  2761 11790,1716193095.2420029640
12 20 27 28 29 35 42 44,12973  4020  9311  3479 10406 10694  2616 11734,1716193095.2848031521
12 20 27 28 29 35 42 44,12415  3938  7852  3359 10107  9783  2548 11713,1716193095.3279905319
11 12 20 27 28 29 35 42 44,10369 11441  3871  8022  3095 10099  8963  2442 11627,1716193095.3709750175
11 12 20 27 28 29 35 42 44,9595 11014  3755  7980  2939  9933  8771  2322 11619,1716193095.4139597416
11 12 20 27 28 29 35 42 44,9219 11002  3687  7960  2877  9958  8636  2419 11605,1716193095.4569678307
11 12 20 27 28 29 34 35 42 44 46,9103 10909  3577  7999  2782  9950 13010  8584  2275 11672 11781,1716193095.4999632835
11 12 20 27 28 29 34 35 42 43 44 46,9025 10877  3561  7998  2655  9979 10448  8396  2219 14802 11775 11446,1716193095.5431275368
11 12 20 27 28 29 34 35 42 43 44 46,8573  5752  2856  4452  2212  7537  6546  6329  2254  9075 11871 11475,1716193097.2625644207
11 12 20 27 28 29 34 35 42 43 44 46,8597  6215  2929  5141  2258  7501  7502  6373  2336  9313 11983 11870,1716193097.3056046963
11 12 20 27 28 29 34 35 42 44,8728  6297  2964  5405  2308  7663  8349  6495  2331 11615,1716193097.3485314846
11 12 20 27 28 29 34 35 42 44,8845  7348  3095  6429  2324  9769 10274  7079  2450 11771,1716193097.3916697502
11 12 20 27 28 29 34 35 42 44,8918  7669  3165  6525  2455  9964 15683  7212  2524 11703,1716193097.4346015453
11 12 20 27 28 29 35 42 44,9215  8024  3283  6546  2572 10141  7163  2573 11868,1716193097.4776668549
11 12 20 27 28 29 35 42 44,14290  8985  3463  6531  2725 10145  7323  2690 11895,1716193097.5204985142
12 20 27 28 29 35 42 44,9894  3462  6589  2793 10304  7344  2982 11906,1716193097.5636620522
12 20 27 28 29 35 42 44,10723  3573  7647  2953 10454  7668  3220 11962,1716193097.6066637039
12 20 27 28 29 35 42 44,11050  3712  7471  3149 10620  8017  4170 12009,1716193097.6496052742
12 20 27 28 29 35 42 44,11326  3891  7523  3581 10989  8090  4654 12035,1716193097.6925170422
12 20 27 28 29 35 42 44,12959  4006  7687  3814 11166  8814  6116 12099,1716193097.7356188297
12 20 27 28 29 35 42 44,13515  4881  9723  4170 11368 10035  7863 12059,1716193097.7786004543
12 20 27 28 35 42 44,13805  4830  9665  4603 10438  9269 12330,1716193097.8216555119
12 20 27 28 35 42 44,14082  5488  9994  4863 10874 11235 12403,1716193097.8644642830
12 20 27 28 35 44,15326  6269 10108  5422 11186 12304,1716193097.9076478481
20 27 28 35,6568 11511  8223 11938,1716193097.9506154060
20 27 28 35,6920 11461  9113 15370,1716193097.9935367107
20 27 28 35,9391 11518  9270 16073,1716193098.0364854336
20 27 28,9515 11515 10053,1716193098.0796132088
20 28,9811 10068,1716193098.1225223541
20 28,10155 10181,1716193098.1656754017
20 28,11087 10635,1716193098.2084839344
20 28,13495 11183,1716193098.2516162395
28,10922,1716193098.2945916653
28,11675,1716193098.7655649185
