TAX,ADC,TS
11,10547,1716182186.3789193630
11,10185,1716182186.4219725132
11,10004,1716182186.4648838043
11,9650,1716182186.5079958439
11,9267,1716182186.5508306026
11,9143,1716182186.5939316750
11,8932,1716182186.6368155479
11,8777,1716182186.6798200607
11 19,9089 10153,1716182186.7228949070
3 11 19 28,10083  9446 10244 11979,1716182186.7659504414
3 11 19 28,6871  9332  9942 11601,1716182186.8089761734
3 11 19 28,6488  9256  9829 11515,1716182186.8517990112
3 11 19 27 28,6407  9201  9762 13050 11437,1716182186.8949475288
3 11 19 20 27 28,6193  9107  9806 15243 12660 11318,1716182186.9379909039
3 11 19 20 27 28,5907  9039  9762 12811 12411 11181,1716182186.9809603691
3 11 19 20 27 28,5776  8923  9614 11978 12308 11018,1716182187.0238053799
3 11 19 20 26 27 28,5727  9062  9658 11578 11178 12362 10963,1716182187.0669610500
3 11 19 20 26 27 28,5512  8948  9287 11355 10884 11401 10904,1716182187.1099519730
3 11 19 20 26 27 28 44,5428  8898  7499 11012 10625 11208 10720 15796,1716182187.1529548168
3 11 19 20 26 27 28 34 44,5354  8883  6999 10622 10630 11207 10884 12376 15310,1716182187.1959404945
3 11 19 20 26 27 28 34 42 44,5199  8811  6463 10448 10387 11045 11063 11722 12981 14003,1716182187.2389450073
3 11 19 20 26 27 28 34 42 44,4996  8837  5693 10411 10420 11099 11098 11748 12786 14091,1716182187.2819566727
3 11 18 19 20 26 27 28 29 34 42 44,4871  8898 11434  5628 10464 10374 12350 11143 11997 11721 12725 13054,1716182187.3249812126
3 11 18 19 20 26 27 28 29 34 42 44,4629  8926 10854  5027 10314 10125 11171 10975 11813  9056 12507 12870,1716182187.3679299355
3 11 18 19 20 26 27 28 34 44,4257  7465 10198  4052  8215 10023 10437 10404 11422 14067,1716182189.1308143139
3 11 18 19 20 26 27 28 34,4561  7579 10272  4233  8839 10127 10627 10479 11573,1716182189.1738166809
3 11 18 19 20 26 27 28 34,4858  7635 10596  4808 10177 10414 11107 10701 11574,1716182189.2166783810
3 11 18 19 20 26 27 28 34,5025  7669 10894  5246 10344 10413 11029 10746 11813,1716182189.2598104477
3 11 19 20 26 27 28,5115  8595  5434 10580 10293 10816 10932,1716182189.3028016090
3 11 19 20 26 27 28,5143  8652  6378 11148 10725 10993 11043,1716182189.3457574844
3 11 19 20 27 28,5219  8695  7935 12127 11129 10852,1716182189.3886740208
3 11 19 20 27 28,5422  8718  9170 13372 11246 10906,1716182189.4317805767
3 11 19 27 28,5514  8755  9348 11263 11029,1716182189.4747998714
3 11 19 27,5803  8879  9406 11718,1716182189.5176942348
3 11 19 27,6032  9074  9502 12657,1716182189.5606579781
3 11 19,6148 9057 9411,1716182189.6037046909
11 19,8788 9443,1716182189.6467881203
11 19,9172 9699,1716182189.6896977425
11,9000,1716182189.7325277328
11,9067,1716182189.7757923603
11,9645,1716182189.8186895847
11,10041,1716182189.8617854118
11,16152,1716182189.9047062397
