TAX,ADC,TS
11,10390,1716184662.7382218838
11 28,10155 12549,1716184662.7812018394
11 28,9219 11176,1716184662.8242039680
11 28,8891 10891,1716184662.8672230244
11 19 28,9032 10372 10904,1716184662.9102036953
11 19 20 28,8993  9905 15333 11087,1716184662.9531838894
3 11 19 20 28 29,8452  9315 10007 13935 11407 12051,1716184662.9962346554
2  3 11 19 20 28 29,15114  7945  9242  8085 12347 11232 11493,1716184663.0391573906
3 11 19 20 21 27 28 29,7734  9131  7894 12196 11487 13030 11307 11331,1716184663.0822346210
3 11 19 20 21 27 28 29,5751  8930  7489 12330 10949 12872 11396 11073,1716184663.1251819134
3 11 19 20 21 27 28 29 36 44,5538  8838  6674 11802 10789 12705 11293 11095 14968 14881,1716184663.1682231426
3 11 19 20 21 27 28 29 36 44,5453  8840  6379 11580 10976 12589 11343 11202 14125 13208,1716184663.2112073898
3 11 19 20 21 27 28 29 36 44,5266  7794  5752 10953 10722 12268 11237 10873 13601 12632,1716184663.2542116642
3 11 19 20 21 26 27 28 29 36 44,4682  7710  5611 10864 10542 11374 12321 11146 10869 13389 12756,1716184663.2972187996
3 11 18 19 20 21 26 27 28 29 36 44,4329  7762 11488  5179 10677 10443  9493 12468 10953 10644 12982 12441,1716184663.3401873112
3 11 18 19 20 21 26 27 28 29 36 44,4167  7753 10797  4778 10445 10307  8901 12475 10845 10556 12685  9329,1716184663.3831896782
3 11 18 19 20 21 26 27 28 29 36 44,4018  7537 10562  4300  9851 10060 13239 12362 10297 10186 11813 12828,1716184665.2321670055
3 11 18 19 20 21 27 28 29 36 44,4120  7573 10688  4493 10068 10161  8982 10300 10305 12517 13138,1716184665.2752177715
3 11 19 20 21 27 28 29 36,4898  7490  4501 10266 10230 10506 10388 10252 13017,1716184665.3181545734
3 11 19 20 21 27 28 29 36,5109  7621  4987 10612 10431 10589 10401 10647 12954,1716184665.3611123562
3 11 19 20 21 27 28 29 36,5387  7905  6581 11229 10603 12642 10720 11010 14741,1716184665.4041352272
2  3 11 19 20 21 28 29,11324  7700  8961  7524 11622 10897 10606 11337,1716184665.4471104145
2  3 11 19 20 21 28 29,15181  7877  9046  9612 12344 11001 10700 11793,1716184665.4901201725
2  3 11 19 20 21 28,14200  9722  9158  9915 13101 11337 11016,1716184665.5331015587
11 19 28,8818 10023 10836,1716184665.5761051178
11 28,8939 10844,1716184665.6191084385
11 28,9905 11770,1716184665.6621441841
11,9673,1716184665.7050383091
11,9697,1716184665.7480831146
